time,open,high,low,close,Volume,Volume MA
1556285400,204.9,205,202.12,204.3,18649102,23047106.7
1556544600,204.4,205.97,203.86,204.61,22204716,22979144.45
1556631000,203.06,203.4,199.11,200.67,46534923,23912792.4
1556717400,209.88,215.31,209.23,210.52,64827328,26015872.2
1556803800,209.84,212.65,208.13,209.15,31996324,26452096.9
1556890200,210.89,211.84,210.23,211.75,20892378,26541002.05
1557149400,204.29,208.84,203.5,208.48,32443113,27236825.5
1557235800,205.88,207.4175,200.825,202.86,38763698,27880925.55
1557322200,201.9,205.34,201.75,202.9,26339504,27409488.9
1557408600,200.4,201.68,196.66,200.72,34908607,28070154.85
1557495000,197.419,198.85,192.77,197.18,41208712,29085550.05
1557754200,187.71,189.48,182.85,185.72,57430623,30569047.8
1557840600,186.41,189.7,185.41,188.66,36529677,31518699.35
1557927000,186.27,191.75,186.02,190.92,26544718,31561116
1558013400,189.91,192.4689,188.84,190.08,33031364,31767345.2
1558099800,186.93,190.9,186.76,189,32879090,32201511.4
1558359000,183.52,184.349,180.2839,183.09,38612290,33160148.65
1558445400,185.22,188,184.7,186.6,28364848,33412241.5
1558531800,184.66,185.71,182.55,182.78,29748556,34022638.85
1558618200,179.8,180.54,177.81,179.66,36529736,34921965.35
1558704600,180.2,182.14,178.62,178.97,23714686,35175244.55
1559050200,178.92,180.59,177.91,178.23,27948160,35462416.75
1559136600,176.42,179.35,176,177.38,28481165,34559728.85
1559223000,177.95,179.23,176.67,178.3,21218412,32379283.05
1559309400,176.23,177.99,174.99,175.07,27043584,32131646.05
1559568600,175.6,177.92,170.27,173.3,40396069,33106830.6
1559655000,175.44,179.83,174.52,179.64,30967961,33033073
1559741400,184.28,184.99,181.14,182.54,29773427,32583559.45
1559827800,183.08,185.47,182.1489,185.22,22526311,32392899.8
1559914200,186.51,191.92,185.77,190.15,30684393,32181689.1
1560173400,191.81,195.37,191.62,192.58,26220851,31432296.05
1560259800,194.86,196,193.6,194.81,26932882,29907409
1560346200,193.95,195.97,193.385,194.19,18253189,28993584.6
1560432600,194.7,196.79,193.6,194.15,21674625,28750079.95
1560519000,191.545,193.5863,190.3,192.74,18761474,28036585.45
1560778200,192.9,194.96,192.17,193.89,14669144,27126088.15
1560864600,196.05,200.29,195.21,198.45,26551004,26523023.85
1560951000,199.68,199.88,197.31,197.87,21124235,26160993.2
1561037400,200.37,200.61,198.03,199.46,21513988,25749264.8
1561123800,198.8,200.85,198.15,198.78,47800589,26312807.45
1561383000,198.54,200.16,198.17,198.58,18220421,26038094.2
1561469400,198.43,199.26,195.29,195.57,21070334,25694202.9
1561555800,197.77,200.99,197.35,199.8,26067512,25573520.25
1561642200,200.29,201.57,199.57,199.74,20899717,25557585.5
1561728600,198.68,199.495,197.05,197.92,31110642,25760938.4
1561987800,203.17,204.49,200.65,201.55,27316739,25106971.9
1562074200,201.41,203.1323,201.36,202.73,16935217,24405334.7
1562160600,203.28,204.44,202.6901,204.41,11362045,23484765.6
1562333400,203.35,205.08,202.9,204.23,17265518,23221725.95
1562592600,200.81,201.4,198.41,200.02,25338628,22954437.7
1562679000,199.2,201.51,198.81,201.24,20578015,22672295.9
1562765400,201.85,203.73,201.56,203.23,17897138,22220508.7
1562851800,203.31,204.39,201.71,201.75,20191842,22317441.35
1562938200,202.45,204,202.2,203.3,17595212,22113470.7
1563197400,204.09,205.87,204,205.21,16947420,22022768
1563283800,204.59,206.11,203.5,204.5,16866816,22132651.6
1563370200,204.05,205.0915,203.27,203.35,14107450,21510473.9
1563456600,204,205.88,203.7,205.66,18582161,21383370.2
1563543000,205.79,206.5,202.36,202.59,20929307,21354136.15
1563802200,203.65,207.23,203.61,207.22,22277932,20078003.3
1563888600,208.46,208.91,207.29,208.84,18355210,20084742.75
