time,open,high,low,close,Volume,Volume MA
1556285400,278.18,282,275.79,281.96,2114205,2012279.8
1556544600,286.46,291.705,285.38,286.14,5592372,2187018.95
1556631000,286.1,289.77,285.25,289.25,3067976,2191907.1
1556717400,291,291,283.19,283.35,2056176,2200818.95
1556803800,283.14,284.59,278.15,279.64,2482283,2203294.1
1556890200,282.56,286.35,282.39,285.58,1979920,2154920.8
1557149400,277.6,284.2165,275.81,283.66,1994477,2156113.3
1557235800,278.82,280.65,273.67,277.07,2567977,2194672.35
1557322200,275.83,278.37,274.16,276.77,2611043,2244929.9
1557408600,274.16,277.12,270.7975,275.79,1867193,2264790.6
1557495000,273.58,279.5,270.32,278.48,2097736,2265387.95
1557754200,270.565,274.19,267.22,267.7,2698322,2316235.5
1557840600,269.43,274.23,269.29,271.86,2046551,2345447.5
1557927000,269.82,276.95,269.5,276.82,2708559,2398952.25
1558013400,278.63,285.87,278.4,283.55,3413063,2450029.5
1558099800,281.68,284.412,279.069,279.85,2223523,2459756.25
1558359000,276.1,277.89,273.4,275.45,2391950,2511106.15
1558445400,278.21,280,277.045,278.07,1793665,2466092.3
1558531800,277.42,282.74,277.255,281.82,1570628,2451245.95
1558618200,278.29,278.43,271.69,274.25,2706419,2499201.9
1558704600,273.54,277.475,273.54,274.77,1878339,2487408.6
1559050200,276.49,281.45,275.37,278.25,2475891,2331584.55
1559136600,275.29,276.8025,272.28,273.38,1805982,2268484.85
1559223000,274.43,275.09,272.43,274.51,1601106,2245731.35
1559309400,271.28,272.91,268.75,270.9,2526653,2247949.85
1559568600,270.51,272.81,257.53,259.03,3903421,2344124.9
1559655000,263.27,268.93,257.46,268.71,3750815,2431941.8
1559741400,272.78,273.21,268.39,272.86,2650396,2436062.75
1559827800,273.72,275.76,271.045,274.8,2211787,2416099.95
1559914200,275.87,282.37,275.51,278.16,2759013,2460690.95
1560173400,280.98,284.98,280.2,280.34,2487726,2480190.45
1560259800,283.91,284.89,272.0301,275.99,2969720,2493760.35
1560346200,276.13,277.555,274.575,276.84,1313852,2457125.4
1560432600,278.59,278.96,275.915,276.3,1696743,2406534.6
1560519000,275.91,277.1,274,274.28,2262838,2349023.35
1560778200,274.63,277.47,274.63,275.6,2254229,2350558.65
1560864600,280.37,280.4908,276.62,276.78,4529340,2457428.15
1560951000,287,292,284.34,291.21,9738584,2854674.1
1561037400,293.25,302.66,293.25,302.11,5632525,3057768.95
1561123800,301.46,304,299.09,299.33,4015546,3123225.3
1561383000,300,302.58,298.685,299.87,2869223,3172769.5
1561469400,299.21,300.645,287,287.97,4638470,3280898.45
1561555800,291.26,292.76,288.7,288.72,2896763,3335437.5
1561642200,290.04,294.67,290.04,293.23,2596919,3385228.15
1561728600,294.5,295.1,291.95,294.65,2648300,3391310.5
1561987800,299.55,301.9,297.66,300.97,2624198,3327349.35
1562074200,301.19,301.58,299.3598,301.39,1816885,3230652.85
1562160600,302,305.86,301.29,305.7,1585273,3177396.7
1562333400,304.01,305.24,298.93,303.98,2872770,3210445.85
1562592600,302.76,303.11,300.13,302.92,1909180,3167954.2
1562679000,300.56,305.13,300.2201,304.2,1644254,3125780.6
1562765400,305.1,309.32,305.1,306.98,1954088,3074999
1562851800,307.39,310.1709,305.9,307.6,1951519,3106882.35
1562938200,308.01,309.7,304.965,309.42,1624840,3103287.2
1563197400,310,310.455,307.72,308.76,1161681,3048229.35
1563283800,308,308.46,305.0711,305.7,1838747,3027455.25
1563370200,307.13,310.9566,306.75,309.39,2298481,2915912.3
1563456600,307.21,310.92,306.85,310.08,1597673,2508866.75
1563543000,311.56,313.11,305.265,306.87,2100253,2332253.15
1563802200,308.39,309.92,307.14,308.55,1336736,2198312.65
1563888600,309.91,309.98,305.22,307.88,1826893,2146196.15
1563975000,305.81,310.7317,305.81,310.27,1459247,1987235
1564061400,308.66,309.66,306.1,308.73,1378470,1911320.35
1564147800,309.97,312.5,309.26,311.27,1507922,1856870.5
1564407000,311.94,311.94,301.48,307.22,2778446,1863377.8
1564493400,305.07,307.09,302.55,303.64,2157952,1840065.5
1564579800,303.61,304.95,295.11,298.86,3066861,1902564.3
1564666200,299.15,304.99,296.77,298.44,3210196,1983810.45
1564752600,295.57,297.35,289.42,293.71,3400897,2010216.8
1565011800,285.04,286.87,276.78,280.36,4292566,2129386.1
1565098200,283.63,286.99,282.5,286.21,2552138,2174780.3
1565184600,282.24,290.26,282,289.02,2196689,2186910.35
1565271000,292.75,297.87,290.2,297.78,2506035,2214636.15
1565357400,296.14,298.27,292.15,294.83,1451132,2205950.75
1565616600,293.14,294.42,287.4127,288.65,1580529,2226893.15
1565703000,288.23,295.5,286.39,293.17,2346691,2252290.35
1565789400,287.6,289.65,281.425,283.66,2585987,2266665.65
1565875800,285.64,286.49,280.86,282.71,2338678,2303715.9
1565962200,285.58,290.15,283.32,287.45,1981029,2297754.7
1566221400,291.32,291.77,287.17,287.97,1956105,2328723.15
1566307800,287.97,288.66,285.4,285.71,1491067,2311931.85
1566394200,288.54,292.92,286.51,291.53,1520460,2314992.5
1566480600,292.57,292.9,285.1215,287.69,1745838,2333360.9
1566567000,289.23,293.5725,280.97,282.44,2852522,2400590.9
1566826200,284.86,288.89,283.51,288.74,1792971,2351317.15
1566912600,290.66,291.85,286.5301,289.45,1793394,2333089.25
1566999000,286.55,287.99,280.42,282.13,2776778,2318585.1
1567085400,285.71,287.7,283.615,286.63,2172535,2266702.05
1567171800,287.41,288.5,280.115,284.51,2373297,2215322.05
1567517400,284.25,287.46,281.4,282.45,1838081,2092597.8
1567603800,286.04,286.245,282.46,284.6,1516136,2040797.7
1567690200,287.83,288.0101,281.52,287.75,2836385,2072782.5
1567776600,288.2,289.59,283.96,284.94,2273061,2061133.8
1568035800,286.52,286.93,276.6,279.3,3134613,2145307.85
1568122200,277.58,277.58,272.34,276.14,4098222,2271192.5
1568208600,277.66,280.3099,274,277.78,2593970,2283556.45
1568295000,281,282.28,277.94,278.02,2955024,2302008.3
1568381400,278.22,280.28,276.32,278.35,2948590,2332503.9
1568640600,276.62,283.05,275.3,282.93,2774732,2372189.05
1568727000,284.04,285.3,280.355,284.69,4541202,2501443.9
1568813400,275.35,280.29,270.02,279.72,7479171,2800849.1
1568899800,280.17,284.365,279.83,281.26,3171211,2883386.65
1568986200,281.6,283.2,274.95,277.91,4160719,3004130.7
1569245400,275.93,279.58,275.41,277.44,2068852,2964947.2
