time,open,high,low,close,Volume,Volume MA
1556285400,1929,1951,1898,1950.63,8432563,3854358.15
1556544600,1949,1956.335,1934.09,1938.43,4021255,3889381.25
1556631000,1930.1,1935.71,1906.95,1926.52,3506007,3852744
1556717400,1933.09,1943.64,1910.55,1911.52,3116964,3836186.45
1556803800,1913.33,1921.55,1881.87,1900.82,3962915,3835302.7
1556890200,1949,1964.4,1936,1962.46,6381564,3973187.55
1557149400,1917.98,1959,1910.5,1950.55,5417841,4062055.8
1557235800,1939.99,1949.1005,1903.3795,1921,5902134,4169520.45
1557322200,1918.87,1935.37,1910,1917.77,4078568,4187730.45
1557408600,1900,1909.4,1876,1899.87,5308263,4304944.95
1557495000,1898,1903.79,1856,1889.98,5717994,4458102.55
1557754200,1836.56,1846.535,1818,1822.68,5783410,4591552.4
1557840600,1839.5,1852.44,1815.75,1840.12,4629107,4636786.6
1557927000,1827.95,1874.427,1823,1871.15,4692642,4719187.8
1558013400,1885.94,1917.51,1882.29,1907.57,4707822,4809903.05
1558099800,1893.05,1910.53,1867.33,1869,4736618,4909239.85
1558359000,1852.69,1867.78,1835.54,1858.97,3798198,4930459.4
1558445400,1874.79,1879,1846,1857.52,4005122,4898693.45
1558531800,1851.78,1871.485,1851,1859.68,2936601,4861734.45
1558618200,1836.59,1844,1804.2,1815.48,4424265,4777992.65
1558704600,1835.89,1841.76,1817.851,1823.28,3369673,4524848.15
1559050200,1832.75,1849.2669,1827.35,1836.43,3199965,4483783.65
1559136600,1823.12,1830,1807.5327,1819.19,4279025,4522434.55
1559223000,1825.49,1829.47,1807.825,1816.32,3146850,4523928.85
1559309400,1790.01,1795.585,1772.7034,1775.07,4618819,4556724.05
1559568600,1760.01,1766.29,1672,1692.69,9098708,4692581.25
1559655000,1699.24,1730.82,1680.89,1729.56,5679121,4705645.25
1559741400,1749.6,1752,1715.2514,1738.5,4239782,4622527.65
1559827800,1737.71,1760,1726.13,1754.36,3689272,4603062.85
1559914200,1763.7,1806.2538,1759.49,1804.03,4808246,4578062
1560173400,1822,1884.87,1818,1860.63,5371007,4560712.65
1560259800,1883.25,1893.7,1858,1863.7,4042694,4473676.85
1560346200,1853.98,1865,1844.38,1855.32,2678335,4376138.25
1560432600,1866.72,1883.09,1862.22,1870.3,2795810,4281296.65
1560519000,1864,1876,1859,1869.67,2851163,4188463.7
1560778200,1876.5,1895.688,1875.45,1886.03,2634342,4083349.9
1560864600,1901.35,1921.67,1899.79,1901.37,3895728,4088226.4
1560951000,1907.84,1919.5807,1892.47,1908.79,2895347,4032737.65
1561037400,1933.33,1935.2,1905.8,1918.19,3217153,4046765.25
1561123800,1916.1,1925.95,1907.58,1911.3,3933576,4022230.8
1561383000,1912.66,1916.86,1901.3,1913.9,2282969,3967895.6
1561469400,1911.84,1916.385,1872.42,1878.27,3012347,3958514.7
1561555800,1892.48,1903.8,1887.32,1897.83,2441910,3866658.95
1561642200,1902,1911.24,1898.04,1904.28,2141721,3816402.5
1561728600,1909.1,1912.94,1884,1893.63,3037358,3737329.45
1561987800,1922.98,1929.82,1914.66,1922.19,3203347,3442561.4
1562074200,1919.38,1934.79,1906.63,1934.31,2651299,3291170.3
1562160600,1935.89,1941.59,1930.5,1939,1690294,3163695.9
1562333400,1928.6,1945.9,1925.3,1942.91,2628359,3110650.25
1562592600,1934.12,1956,1928.2532,1952.32,2883371,3014406.5
1562679000,1947.8,1990.01,1943.475,1988.3,4345698,2963141.05
1562765400,1996.51,2024.94,1995.4,2017.41,4931902,3007601.45
1562851800,2025.62,2035.8,1995.3,2001.07,4317766,3089573
1562938200,2008.27,2017,2003.87,2011,2509297,3075247.35
1563197400,2021.4,2022.9,2001.55,2020.99,2981343,3081756.35
1563283800,2010.58,2026.3196,2001.22,2009.9,2618198,3080949.15
1563370200,2007.05,2012,1992.03,1992.03,2558809,3014103.2
1563456600,1980.01,1987.5,1951.55,1977.9,3504252,3044548.45
1563543000,1991.21,1996,1962.2255,1964.52,3185612,3042971.4
1563802200,1971.14,1989,1958.26,1985.63,2908111,2991698.15
1563888600,1995.99,1997.79,1973.13,1994.49,2703480,3012723.7
1563975000,1969.3,2001.3,1965.87,2000.81,2631300,2993671.35
1564061400,2001,2001.2,1972.72,1973.82,4136461,3078398.9
1564147800,1942,1950.895,1924.51,1943.05,4927143,3217670
1564407000,1930,1932.226,1890.54,1912.45,4493190,3290461.6
1564493400,1891.115,1909.89,1883.48,1898.53,2910888,3275838.65
1564579800,1898.11,1899.55,1849.44,1866.78,4470727,3366810.05
1564666200,1871.72,1897.92,1844.01,1855.32,4713311,3517960.9
1564752600,1845.07,1846.3634,1808.02,1823.24,4956225,3634354.2
1565011800,1770.22,1788.6678,1748.78,1765.13,6058212,3793096.25
1565098200,1792.23,1793.77,1753.4,1787.83,5070258,3829324.25
1565184600,1773.99,1798.93,1757,1793.4,4526884,3809073.35
1565271000,1806,1834.26,1798.11,1832.89,3701242,3778247.15
1565357400,1828.95,1831.091,1802.22,1807.58,2879770,3796770.8
1565616600,1795.99,1800.98,1777,1784.92,2905498,3792978.55
1565703000,1783,1831.7429,1780,1824.34,4075021,3865819.7
1565789400,1793.01,1795.6514,1757.215,1762.96,4893649,3982561.7
1565875800,1781.99,1788,1761.96,1776.12,3809948,3997846.5
1565962200,1792.89,1802.9082,1784.5496,1792.57,3054240,3991277.9
1566221400,1818.08,1826,1812.61,1816.12,2820303,3986887.5
1566307800,1814.5,1816.82,1799.88,1801.38,1932835,3948355.25
1566394200,1819.39,1829.5785,1815,1823.54,2039231,3918751.8
1566480600,1828,1829.4111,1800.1,1805.6,2658388,3844848.15
1566567000,1793.03,1804.8962,1745.23,1749.62,5277898,3862385.9
1566826200,1766.91,1770,1743.51,1768.87,3085320,3791992.4
1566912600,1775.73,1779.4,1746.68,1761.83,3027245,3797810.25
