time,open,high,low,close,Volume,Volume MA
1556285400,187.88,188.74,185.51,187.09,9421120,12540793
1556544600,187.42,188,185.76,186.94,8660640,12281281.75
1556631000,186.3,188.25,183.82,185.57,15076485,12399367.65
1556717400,186.75,193.195,185.88,189.31,17405482,12868566.75
1556803800,189.42,192.7,186.65,190.39,11468106,12101020.7
1556890200,191.88,195.72,191.88,195.21,14521100,11976952.45
1557149400,185.17,189,184.83,188.24,23941223,12238761.85
1557235800,186.05,186.45,179.63,181.43,22663248,12635645.45
1557322200,180.95,183.2,178.58,179.59,16611096,12887289.8
1557408600,175.43,180.695,173.07,179.04,22727751,13490926.25
1557495000,180.18,180.79,174.1,178,18986985,13995260.55
1557754200,169.79,172.47,168.78,170.01,22330737,14481795.5
1557840600,172.75,175.15,171.48,174.84,17874110,14644671.05
1557927000,177.06,180.24,173.3212,177.6,37610416,15915396.3
1558013400,178.18,178.25,174.75,175.57,20579209,16363648.3
1558099800,171.69,172.29,168.49,169.57,22539384,17095982.75
1558359000,164.44,164.57,160.02,160.65,33413826,18332785.8
1558445400,163.16,165.5896,162.52,163.43,22006145,18862562.75
1558531800,162.41,162.82,158.07,158.83,25831223,19699860.8
1558618200,155.45,158.4795,154.41,156,26891864,20528007.5
1558704600,157.615,158.43,154.9,155,21489717,21131437.35
1559050200,156.4,157.07,153.22,154.81,38602961,22628553.4
1559136600,153.58,154.385,150.71,152.48,30073136,23378385.95
1559223000,152.36,153.37,150.25,151.07,17344653,23375344.5
1559309400,149.63,150.68,147.95,149.26,26881219,24146000.15
1559568600,149.6,151.77,148.845,149.91,25254432,24682666.75
1559655000,151.56,155.2,150.64,154.15,27417246,24856467.9
1559741400,155.17,156.11,149.31,151.65,23208594,24883735.2
1559827800,152,152.7,150.57,151.5,15762951,24841327.95
1559914200,152.95,155.69,152.2135,154.23,17817824,24595831.6
1560173400,158.78,161.98,157.4,159.85,36473289,25470146.8
1560259800,164.2,165.68,161.9245,162.65,23408398,25524029.85
1560346200,160.47,161.7,158.81,160.04,16329285,25446788.6
1560432600,160.55,161.32,159.8,160.33,17571394,24444837.5
1560519000,158.37,158.71,157.23,158.1,14981551,24164954.6
