time,open,high,low,close,Volume,Volume MA
1556285400,17.47,17.81,17.281,17.78,2252170,6035352.55
1556544600,17.72,17.85,17.4129,17.68,2642851,5853821.3
1556631000,17.56,17.9,17.45,17.8,3617379,5737770.25
1556717400,17.9,18.08,17.8048,17.83,2544629,5409865.45
1556803800,17.8,18.15,17.515,17.72,2462901,4450217.25
1556890200,17.9,18.31,17.75,18.19,3247587,4029401.4
1557149400,17.35,17.57,17.03,17.4,4826501,3875284.8
1557235800,17.27,17.6,16.97,17.09,3042466,3767333.2
1557322200,17.08,17.39,16.8,17.14,3634362,3827284.9
1557408600,16.71,17.17,16.19,17.14,6096598,3986957.05
1557495000,17.17,17.5,16.58,17.1,3930925,4000857.4
1557754200,16.51,16.65,16.03,16.21,4672888,3869141.15
1557840600,16.69,16.7,14.82,15.39,16739065,4263139.9
1557927000,15.46,15.69,15.19,15.53,4802134,4277492.95
1558013400,15.63,15.965,15.5005,15.81,3529931,4189168.1
1558099800,15.53,15.7,15.25,15.35,4076701,4221662
1558359000,15,15.1,14.43,14.58,4531074,4308584.5
1558445400,14.87,15.035,14.64,14.77,5223542,4357467.05
1558531800,14.73,14.995,14.45,14.69,2483022,4367366.55
1558618200,14.2,14.4728,13.83,14.32,4847473,4460209.95
1558704600,14.49,14.5742,13.99,14.05,2452900,4470246.45
1559050200,14.37,14.63,13.98,14.01,3617437,4518975.75
1559136600,13.88,14.02,13.655,13.78,3338448,4505029.2
1559223000,13.93,14.05,13.82,13.89,1532667,4454431.1
1559309400,13.63,13.72,13.3,13.5,2886704,4475621.25
1559568600,13.51,13.795,13.23,13.48,5497666,4588125.2
1559655000,13.45,14.275,13.27,14.11,5363839,4614992.1
1559741400,14.42,14.45,13.48,13.99,6164762,4771106.9
1559827800,13.9,14.34,13.73,14.17,2654266,4722102.1
1559914200,14.15,15.1,14.1,14.8,5001950,4667369.7
1560173400,14.91,15.31,14.88,15.06,3584557,4650051.3
1560259800,15.51,15.6294,14.545,14.92,5314203,4682117.05
1560346200,14.56,14.78,14.41,14.69,1471258,3918726.7
1560432600,14.62,14.8,14.25,14.48,3091889,3833214.45
1560519000,14.33,14.45,14.01,14.27,2575859,3785510.85
1560778200,14.2,14.58,14.19,14.36,1461415,3654746.55
1560864600,14.59,15.5,14.5,15.16,4473060,3651845.85
1560951000,15.23,15.34,14.95,15.19,955027,3438420.1
1561037400,15.57,15.93,15.48,15.58,3130616,3470799.8
1561123800,15.34,15.57,15.1,15.44,2675592,3362205.75
1561383000,15.44,16.24,15.28,16.07,3683561,3423738.8
1561469400,15.88,16.14,15.47,15.64,2839204,3384827.15
1561555800,15.9,16.23,15.9,15.97,1905405,3313175
1561642200,16.07,16.25,15.94,16.1,2739798,3373531.55
1561728600,15.89,16.28,15.82,16.27,1853896,3321891.15
1561987800,16.55,16.82,16.26,16.48,4595557,3276785.7
1562074200,16.42,16.7,16.25,16.61,2952629,3156225.2
1562160600,16.6,16.66,16.3,16.63,1189604,2907467.3
1562333400,16.52,16.8,16.4,16.74,956431,2822575.55
1562592600,16.5,16.61,16.4,16.56,1076327,2626294.4
1562679000,16.3,16.66,16.1825,16.6,1391238,2516628.45
1562765400,16.7,16.83,16.48,16.59,2012535,2351545.05
1562851800,16.65,16.7,16.33,16.47,1145810,2335272.65
1562938200,16.6,16.75,16.325,16.4,1399692,2250662.8
1563197400,16.58,16.66,16.405,16.45,1491340,2196436.85
