time,open,high,low,close,Volume,Volume MA
1560346200,63.5,67,56,58,19449162,NaN
1560432600,63.86,69.67,61.6,67.56,10923944,NaN
1560519000,69.78,70.79,63.0201,64.16,6264212,NaN
1560778200,64.75,70.01,62,70.01,3247471,NaN
1560864600,73,78.7,71.5,76.5,6612626,NaN
1560951000,78.75,79.79,73.555,77.22,3319070,NaN
1561037400,78,78.22,70.69,74.85,3429610,NaN
1561123800,72.46,73.9278,68.3,72.23,2657468,NaN
1561383000,71.05,72.39,65.08,67.97,2448037,NaN
1561469400,67.1,68.99,61.17,61.52,2482213,NaN
1561555800,63.3,64.92,62.005,62.65,1625502,NaN
1561642200,63.39,64.995,62.571,63.28,914612,NaN
1561728600,64.36,68.38,63.3,68.29,1474303,NaN
1561987800,69.1,69.729,61.81,63.2,2675367,NaN
1562074200,63.3,65.03,61.7211,64.52,1738845,NaN
1562160600,64.68,67.48,64.52,67.24,1564108,NaN
1562333400,67.15,67.25,64.84,67.21,805222,NaN
1562592600,68.26,71.7146,66.9,66.91,4567154,NaN
1562679000,67.42,69.2,66.88,68.45,1782694,NaN
1562765400,70,74.5,69.5,74.34,2719347,4035048.35
1562851800,74.5,74.98,70.5,70.88,2351834,3180181.95
1562938200,71.6,75.2,70.5,73.5,1838306,2725900.05
1563197400,74,74.295,71.4,71.6,1325082,2478943.55
1563283800,71.93,73.0873,69,69.54,1582319,2395685.95
1563370200,70,71.56,69.59,71,1037007,2116905
1563456600,71,74.19,70.15,72.75,3389964,2120449.7
1563543000,85.16,85.85,80.75,83.52,13669036,2632421
1563802200,82.27,88.5,82.08,87.68,5357744,2767434.8
1563888600,88.32,89.44,84.49,86.74,2529779,2771521.9
1563975000,86.79,87.85,85.5,87.46,1250712,2709946.85
1564061400,87.5,93.339,87,92.28,3270376,2792190.55
1564147800,93.04,95.5,91.91,92.88,2053022,2849111.05
1564407000,93.69,93.9,82.65,87.23,3317799,2941285.85
1564493400,86,96.19,84,94,3127169,2963875.95
1564579800,94,94.8011,86.8167,89.07,2475977,3000732.55
1564666200,90.07,94.32,89.4389,91.53,2238247,3034439.5
1564752600,91.54,92.78,86.91,88.01,1801007,3084228.75
1565011800,83.34,86.92,82.25,85.48,2196373,2965689.7
1565098200,87.2,89.76,82.71,85.24,1357428,2944426.4
1565184600,83.69,86.45,82.8,84.22,990406,2857979.35
1565271000,85.49,91.86,85.49,91.65,1692269,2825001.1
1565357400,90.25,98,90,94.9,3063879,2886279.75
1565616600,94.25,98.2,91.53,93.01,1895649,2914808.1
1565703000,92.84,100.5,92.84,99.65,3034908,2987437.55
1565789400,96.52,97.73,91.6,94.02,2822881,3076731.25
1565875800,95.99,97.14,91.3701,93.66,1520342,2983250.15
1565962200,95,98.1,93.4,96.05,1530550,2376325.85
1566221400,98.8,101.4799,95.6,99.39,2801463,2248511.8
1566307800,99.23,101.88,97.26,99.16,1439345,2193990.1
1566394200,100.59,100.96,96.2701,96.58,1805604,2221734.7
1566480600,96.29,96.58,92.8,92.97,1767533,2146592.55
1566567000,91.37,91.56,86,88.43,3050846,2196483.75
1566826200,90.24,90.84,86.13,88.88,1463680,2103777.8
1566912600,89.28,89.95,83.2337,84.08,1828841,2038861.4
1566999000,84,87.5244,82.6141,86.99,1921251,2011125.1
1567085400,88.3,89.3463,83.29,83.82,1789971,1988711.3
1567171800,84.02,84.94,78.89,81.28,1910152,1994168.55
1567517400,80.85,83.8,80.2517,83.76,1832813,1975990.55
1567603800,85,87.77,82.89,85.31,2412963,2028767.3
1567690200,86.25,87.19,82.5,86.85,3971133,2177803.65
1567776600,79.7,81.5,75.305,75.98,8672342,2526807.3
1568035800,76.105,76.1184,64.34,67.1,8598237,2803525.2
1568122200,65.7,71.8,65.7,71.65,4672469,2942366.2
1568208600,69.21,70.93,67.2,69.11,3113980,2946319.8
1568295000,69.68,72.4,69.06,69.66,2923450,2951348.25
1568381400,69.86,70.31,64.71,64.86,4166281,3083645.2
1568640600,63.71,68.86,63.5,67.86,2804534,3147344.4
1568727000,68.64,71.3342,68.1301,71.04,2820589,3148300.7
1568813400,70.12,71.8789,68.8,70.85,2003010,3176483.95
1568899800,71.5,71.87,67.64,68.93,1690628,3170735.15
1568986200,68.95,69.458,66.19,66.97,3374383,3251077.65
1569245400,67.12,68.57,66.54,66.91,826629,3139866.8
1569331800,67.02,67.37,62,62.52,2615966,3197481.1
1569418200,62,63.39,60.11,62.02,2466798,3229378.95
1569504600,62.05,62.36,57.66,58.3,2892188,3277925.8
1569591000,58.27,58.33,52.84,53.46,4516813,3414267.9
1569850200,53.5,58.65,51.61,58.31,4104029,3523961.75
1569936600,58.3,59.51,55.65,57.89,2841737,3574407.95
1570023000,56.805,57.66,54.07,56.63,1589815,3533250.55
1570109400,59.48,62.4,56.754,62.14,5076359,3588511.85
1570195800,62,64.46,61.55,63.84,2157446,3262767.05
1570455000,63.36,69.7,62.72,68.78,3621793,3013944.85
1570541400,67.4,68.43,64.48,65.3,2766793,2918661.05
1570627800,66.35,66.43,62.5,63.08,2207773,2873350.7
1570714200,62.6,63.61,60.4,61.41,2306927,2842524.55
1570800600,58.77,61.48,57.27,60.27,3335811,2801001.05
1571059800,55.8,57.85,53.2,54.52,4458071,2883677.9
1571146200,55.01,56.41,54.0301,55.21,1982381,2841767.5
1571232600,53.57,55.77,51.8,52.03,2597819,2871507.95
1571319000,51.76,53.15,50.33,50.44,2785744,2926263.75
1571405400,50,50.32,46.46,47.04,3675231,2941306.15
1571664600,46.93,48.97,46.2203,47.4,2411137,3020531.55
1571751000,47.25,48.48,44.581,46.2,2707238,3025095.15
1571837400,47,50.43,46.03,47.87,3707978,3087154.15
1571923800,48.6,52.18,48.11,51.84,2050992,3045094.35
1572010200,50.88,52.07,49.41,50.11,1532804,2895893.9
1572269400,50.26,51.3115,47.71,47.95,2761081,2828746.5
1572355800,47.43,48.37,46.21,47.8,1740730,2773696.15
1572442200,47.72,52.48,46.78,51.445,2224354,2805423.1
1572528600,51.2,51.64,48.1,49.91,1052905,2604250.4
1572615000,49.94,50.8473,47.75,48.5,1441265,2568441.35
1572877800,49.15,50.4832,48.01,49.65,1311746,2452939
1572964200,50.18,50.6,47.77,48.7,1468191,2388008.9
1573050600,48.56,48.71,46.9,47.83,1028805,2329060.5
1573137000,48.26,48.5,45.38,45.5,1669002,2297164.25
1573223400,45.02,47.21,44.8,47.21,1980150,2229381.2
1573482600,46.5,47,45.46,46.2,1287808,2070868.05
1573569000,47.5,47.85,46.11,47.05,1740792,2058788.6
1573655400,46.83,52.44,46.65,52,2868214,2072308.35
1573741800,51.31,54.92,50.6428,52.73,2834077,2074725
1573828200,53,59.99,53,59.75,4025799,2092253.4
1574087400,60,60,55.52,57.07,2243460,2083869.55
1574173800,57.45,57.556,53.76,56,1598494,2028432.35
1574260200,55.24,58.3099,53.39,54.88,2260907,1956078.8
1574346600,55.46,55.46,52.8515,53.77,963275,1901692.95
