time,open,high,low,close,Volume,Volume MA
1568899800,40.35,41.44,36.03,37.55,22073186,NaN
1568986200,38.59,39.2,36.15,36.15,3330499,NaN
1569245400,36.58,38.15,35.75,36.11,2247259,NaN
1569331800,36.01,37.12,34.06,34.5,3210350,NaN
1569418200,34.6,35.6,34.2,35.25,3027990,NaN
1569504600,36,36.29,32.3,32.44,2659939,NaN
1569591000,33,33.51,30.47,32.27,2478506,NaN
1569850200,32.64,34.2,32,33.91,1386510,NaN
1569936600,34.25,34.48,31.25,32.39,1292118,NaN
1570023000,31.65,31.9,30.01,31.1,1877242,NaN
1570109400,31.18,34.8,30.5,32.89,2438925,NaN
1570195800,33.05,35.08,32.7986,34.72,920602,NaN
1570455000,34.9,37.97,34.4,36.81,1985558,NaN
1570541400,36.5,36.7,34.92,35.45,1217655,NaN
1570627800,35.85,37.49,35.61,36.75,1168145,NaN
1570714200,36.75,37.35,35.15,35.6,1350759,NaN
1570800600,35.93,36.48,35.37,35.67,2170433,NaN
1571059800,35.65,36.25,32.95,33.09,2195955,NaN
1571146200,33.17,34.85,32.51,34.8,1473859,NaN
1571232600,33.56,33.77,31.9,32.2,1989053,3024727.15
1571319000,32.3,34.16,32.3,33.96,1489115,1995523.6
1571405400,33.84,33.875,31.46,31.57,1306097,1894303.5
1571664600,31.9,32.1,29.7,30.01,1982098,1881045.45
1571751000,30.05,30.31,28.01,28.04,1965514,1818803.65
1571837400,27.9,29.25,27.55,28.76,2784196,1806613.95
1571923800,29.16,33.46,29.15,32.5,3816517,1864442.85
1572010200,32.86,34.5,32.4,34.3,2120438,1846539.45
1572269400,35,35.4365,33.11,33.28,1906369,1872532.4
1572355800,33.19,34.08,32.6,33.65,716797,1843766.35
1572442200,33.79,34.87,33.38,34.81,920110,1795909.75
1572528600,34.82,34.99,33.12,33.59,966134,1722270.2
1572615000,33.7,34.48,33.63,34.02,806279,1716554.05
1572877800,34.53,34.87,33.36,34.44,870609,1660806.6
1572964200,34.5,35.25,33.21,34.91,1021240,1650985.85
1573050600,34.56,34.76,32.89,33.06,1258054,1655481.3
1573137000,33.3,33.74,31,31.29,1016958,1638791.25
1573223400,31.11,32.83,30.26,32.81,932115,1576875.35
1573482600,32.76,34,32.36,33.55,1665146,1550334.9
1573569000,33.81,35.2,33.8,34.4,3258699,1639576.9
1573655400,38.82,41.92,38.25,40.19,10607668,2070507.65
1573741800,40.18,41.72,39.38,41.37,2569896,2124546.7
1573828200,41.75,42.96,40.43,40.63,2121844,2165334.05
1574087400,40.72,41.48,39.75,40.32,1154269,2123942.6
1574173800,40.45,40.88,37.53,39.15,1891274,2120230.6
1574260200,38.83,39.9378,37.6,38.4,1161008,2039071.2
1574346600,38.24,40.17,38.18,40.03,1419813,1919236
1574433000,41.35,42.7,39.71,41.04,2671902,1946809.2
1574692200,41.5,44.09,41.4671,42.81,2301411,1966561.3
1574778600,43.1,43.7,39.81,40.55,1785738,2020008.35
1574865000,40.8,42.2,39.72,41.86,1278542,2037929.95
1575037800,41.82,42.2,40.56,40.77,574803,2018363.4
1575297000,41.11,41.32,37.84,39.6,2049242,2080511.55
1575383400,37.58,38.7218,37.5,37.77,2120278,2142995
1575469800,38,38.2498,36.09,36.92,1662643,2175065.15
1575556200,36.83,36.83,35.81,35.86,2032686,2213796.75
1575642600,35.93,36.33,35.6,35.91,2883933,2307145.5
1575901800,34.63,36.04,34.1,35.16,3171903,2419134.9
1575988200,34.33,36.25,34.26,34.81,5371024,2604428.8
1576074600,34.81,35.68,33.06,35.55,3372408,2610114.25
1576161000,35.45,36.61,35.14,35.73,2065617,2183011.7
1576247400,36.2,39.13,36.01,38.79,4403967,2274715.25
1576506600,38.91,39.02,37.13,38.79,2943717,2315808.9
1576593000,37.86,38.24,36.02,37.18,5174117,2516801.3
1576679400,37.66,38.75,36.81,38.21,3146196,2579547.4
1576765800,37.51,38.44,37.5,38.1,1524479,2597720.95
1576852200,37.71,38.87,37.6,38.51,3420699,2697765.25
1577111400,38.85,39.64,37.41,37.8,2284500,2678395.15
1577197800,37.72,37.7967,36.62,37.09,783631,2602506.15
1577370600,37.3,38.2,37,37.96,1377971,2582117.8
1577457000,37.9,37.952,35.6107,36.11,3473770,2691879.2
1577716200,36.72,37.2,35.4,37.13,1611179,2743698
1577802600,36.9,37.95,36.7701,37.78,1460168,2714244.3
1577975400,38.22,38.25,36.6,36.7,1784775,2697469.15
1578061800,36.11,37.699,35.9584,37.42,1573566,2693015.3
1578321000,37.51,40.07,37.38,39.9,5565682,2869665.1
1578407400,39.95,41.54,39.2,40.06,4079920,2929464.45
1578493800,40.3,41.08,39.15,39.95,1958317,2868785.15
1578580200,40.45,40.965,39.88,40.21,1630376,2681752.75
1578666600,40.55,40.88,39.8417,40.16,1675832,2596923.95
1578925800,40.72,43.52,40.6,40.94,5302350,2758760.6
1579012200,41.16,41.3992,38.82,39.27,2403957,2658760.1
1579098600,39.57,41.49,39.4,40.23,2098295,2616489
1579185000,40.74,41.7772,39.96,40.61,2021217,2458844
1579271400,41.2,41.72,40.61,41.19,1377612,2370414.8
1579617000,41.18,42.2749,40.47,41.13,2192131,2403797.4
1579703400,41.48,42.67,41.2552,42.24,1167468,2291135.85
1579789800,42.33,43.25,40.93,42.81,1799947,2266908.2
1579876200,43.49,44.03,40.81,42.05,2572285,2356340.9
1580135400,40,41.33,39.25,41.255,2053832,2390133.95
1580221800,41.58,42.21,40.58,42.16,1229611,2277926
1580308200,42.9,44.99,42.16,43.92,2818084,2338271.25
1580394600,43.49,47.2,43.0811,47.04,2830758,2406800.75
1580481000,47.13,47.26,45.7387,46.21,1708920,2403008
1580740200,46.62,47.48,43.51,45.26,2275921,2438125.75
1580826600,46.21,48.49,45.73,47.6,1780497,2248866.5
1580913000,48.88,49.0762,43.77,45.73,2455196,2167630.3
1580999400,45.75,46.3,44.101,46.05,1081525,2123790.7
1581085800,46.5,47.98,46.15,47.18,1765853,2130564.55
1581345000,47.52,49,47.5,47.95,1537097,2123627.8
1581431400,48.62,49.42,47.34,47.81,1884386,1952729.6
1581517800,48.25,50.12,48.05,50.01,2199441,1942503.8
1581604200,49.35,49.47,47.71,48.5,3361781,2005678.1
1581690600,45.91,48.69,44.25,47.03,8374759,2323355.2
1582036200,47.29,48.58,46.605,47.08,3049789,2406964.05
1582122600,47.2,47.86,46.41,47.3,2877410,2441228
1582209000,45.68,47.03,44.08,45.99,5201779,2642943.55
1582295400,45.64,45.79,43.724,45.68,2696208,2687756.6
1582554600,43,45.35,42.33,44.96,3187413,2718513
1582641000,45.4,45.602,43,44.31,4406094,2836126.1
1582727400,44.06,45.39,43.5,43.91,2819511,2915621.1
1582813800,42.12,46.58,41.72,45.89,7190094,3134221.6
1582900200,43.8,45.84,43.5,45.15,4483196,3216843.5
1583159400,45,45.78,43.61,44.79,5881164,3425455.7
1583245800,44.8,44.86,42.36,43.4,4483680,3535843.65
1583332200,44.33,44.9,43.13,44.525,2239971,3558817.35
1583418600,43.31,48.12,43.31,47.3,5074317,3689773.4
1583505000,46.01,46.44,43.08,43.62,3987390,3835066.65
1583760600,38.78,40,37.37,38.82,9150122,4204280.1
1583847000,39.75,39.85,36.45,38,13106274,4782738.95
1583933400,37.31,37.71,34.79,35.56,6249069,5000973.1
1584019800,32.46,34.93,31,33.1,6687304,5225366.25
1584106200,36,36.6,32,35.26,5704742,5342514.3
1584365400,32,33.18,28.88,28.96,4915538,5169553.25
1584451800,29.53,34.44,29.31,34.12,4476827,5240905.15
1584538200,30.85,33.88,30.46,32.08,3134164,5253742.85
1584624600,32,33.77,31.3,33.1,4076217,5197464.75
1584711000,33.54,35.12,33.01,33.38,5349735,5330141.1
1584970200,34.1,34.1,30.63,32.9,4407902,5391165.55
1585056600,34.05,35.39,33.75,34.49,3495732,5345647.45
1585143000,34.11,36.89,33.6,33.69,3049103,5357127.05
1585229400,34.07,35.93,33.41,34.3,4155146,5205379.65
1585315800,34.29,35.24,33.1424,34.55,2892455,5125842.6
1585575000,35.45,35.655,33.75,34.75,2321368,4947852.8
1585661400,34.5,36.54,34.36,35.98,3222255,4884781.55
1585747800,34.83,37,34.31,34.88,2855247,4915545.35
1585834200,34.9,35.87,33.6201,34.6,1865959,4755127.45
1585920600,34.5,35.344,33.04,34.69,2627168,4687116.35
1586179800,35.44,36.45,35.1,36.28,2187606,4338990.55
1586266200,37,37.24,35.01,35.9,2920789,3829716.3
1586352600,36.1,37.89,35.4,37.15,4113152,3722920.45
1586439000,37,37.49,36.35,36.95,2737154,3525412.95
1586784600,37.69,38.35,37.42,37.87,3050737,3392712.7
1586871000,38.57,39.1159,38.25,38.91,2726005,3283236.05
1586957400,38.58,39.36,38.02,38.74,2956205,3207204.95
1587043800,39.1,39.92,38.72,39.64,2895817,3195287.6
1587130200,40,40.6686,38.55,40.4,3179990,3150476.25
1587389400,39.97,42.5851,39.97,40.99,2934331,3029706.05
1587475800,41.03,41.6837,38.14,40,3063302,2962476.05
1587562200,40.56,41.43,40.26,40.29,1886353,2882007.1
1587648600,40.01,41,38.68,40.15,1540703,2806587.1
1587735000,40.89,42.1,40.23,41.81,2781973,2737928.45
1587994200,42.25,43.43,42,43.23,1619726,2674292
1588080600,43.56,44.23,41.8,43.6,2260345,2671240.85
1588167000,43.85,45.14,43.74,44.65,1961155,2608185.85
1588253400,44.93,45.28,44.44,45.12,1734659,2552156.45
1588339800,44,45.47,43.133,44.98,2091955,2563456.25
1588599000,44.9,46.13,43.81,45.83,2499311,2557063.4
1588685400,46.33,47.34,46.01,46.6,3277065,2611536.35
1588771800,47,47.28,46.01,46.56,2195565,2575275.15
1588858200,47.5,50.09,47.26,49.61,4854477,2612341.4
1588944600,51.325,52.2356,49.58,51.73,5233363,2737151.85
1589203800,52.99,57.18,52.6,55.69,10262785,3097754.25
1589290200,61.87,70.12,61.05,68.86,24947327,4208820.35
1589376600,66.64,72.15,64.6131,69.99,13535327,4737776.45
1589463000,66.38,67.25,62.12,65.19,13375032,5261737.2
1589549400,65,69.22,64.94,67.16,6688476,5437161.5
1589808600,69,69.77,66.86,67.41,4062797,5493584.8
1589895000,67.75,71.42,67.4601,70.06,4009379,5540888.65
1589981400,71.01,71.79,69.26,70.7,3189666,5606054.3
1590067800,70,70.98,68.45,69.89,2329398,5645489.05
1590154200,70.05,74,70,73.04,4724399,5742610.35
1590499800,74.59,75,67.51,71,5207838,5922015.95
1590586200,69.85,70.1319,62.5,66.82,6837153,6150856.35
1590672600,64.9,70.2,64.6,67.13,4244831,6265040.15
1590759000,68.76,71.47,67.5,71.27,12946333,6825623.85
1591018200,70.61,72.16,69.25,69.49,5487725,6995412.35
1591104600,69.49,72.09,67.18,70.81,4859499,7113421.75
1591191000,70.78,73.48,69.31,72.89,3133183,7106227.65
1591277400,73.13,73.7,69.44,71.76,5502505,7271574.65
1591363800,69.95,72.08,68.21,70.66,3433710,7200536.3
1591623000,71.38,77.69,70.08,76.54,5918736,7234804.95
1591709400,76.39,78.49,73.58,73.74,4048412,6924086.3
1591795800,75.72,79.18,75.32,78.26,3476796,5850559.75
1591882200,76.12,79.4,75.18,76.05,3803601,5363973.45
1591968600,77.9,80.62,76.27,78.05,3672897,4878866.7
1592227800,78.15,83.2,77.63,81.52,4513988,4770142.3
1592314200,82.04,84.45,80.55,81.99,4656786,4799841.75
