time,open,high,low,close,Volume,Volume MA
1556285400,66.06,66.65,64.78,65.36,1529726,1582161.05
1556544600,65.4,65.78,65.02,65.55,1241321,1549260.35
1556631000,65.65,67.5,65.65,67.41,1209213,1520416.8
1556717400,67.9,69.2,67.41,68.58,2090476,1507160.1
1556803800,68.44,68.95,66.44,68.14,1964541,1500374.7
1556890200,68.73,69.2975,68.25,68.7,942796,1439513.3
1557149400,67.24,68.51,67.09,68.19,674748,1363020.75
1557235800,67.55,68.28,66.22,67.49,1419323,1367148.15
1557322200,67.04,67.3005,66.51,67.1,1025087,1354267.8
1557408600,66.05,67.29,65.65,67.09,1386919,1339706
1557495000,66.77,67.39,65.55,67.16,715679,1278097.15
1557754200,65.09,65.9,63.7,64.04,2626077,1349124.25
1557840600,64.26,66.7293,64.1,66.15,992600,1340694.95
1557927000,65.66,68.27,65.5,67.9,1040089,1336414.15
1558013400,68.05,70.23,67.905,69.8,1034877,1336469.55
1558099800,68.99,70.553,68.51,69.43,1489272,1358554.45
1558359000,68.59,68.96,67.08,68,1343412,1371687.15
1558445400,68.92,70.15,68.42,69.65,1176905,1353507.15
1558531800,70.26,70.39,68.665,69,1567311,1354378.85
1558618200,67.6422,67.6422,64.55,65.7,3143732,1430705.2
1558704600,66.02,67.19,65.3,66.12,1893429,1448890.35
1559050200,66.18,67.87,66,66.41,1789583,1476303.45
1559136600,65.78,66.2213,64.7,66.2,2412378,1536461.7
1559223000,66.52,67.31,65.52,66.41,2084667,1536171.25
1559309400,60.66,62.16,57.11,59.55,7916974,1833792.9
1559568600,59.4,59.53,55.4523,55.86,3226378,1947972
1559655000,56.99,57.76,55.93,57.68,2573473,2042908.25
1559741400,57.79,58.05,53.755,54.5,3744651,2159174.65
1559827800,54.95,55.03,52.12,53.23,3874531,2301646.85
1559914200,53.4,55.15,53.01,54.3,2291218,2346861.8
1560173400,54.81,55.53,54.03,54.2,1854807,2403818.2
1560259800,54.47,54.89,53.59,54.34,1776848,2361356.75
1560346200,54.21,54.915,52.95,53.03,1280845,2375769
1560432600,52.99,54.02,52.52,53.83,2066860,2427107.55
1560519000,52.95,53.51,50.76,51.32,1842166,2467472
1560778200,51.49,51.67,50.57,50.63,1671932,2476605
1560864600,51.2,52.65,50.91,51.51,2276235,2523246.15
