time,open,high,low,close,Volume,Volume MA
1556285400,57.2,57.95,56.65,57.26,1556997,1789598.25
1556544600,57.61,58.37,57.03,57.66,1517467,1785604.55
1556631000,56.5,56.94,55.375,56.67,2242988,1835538.6
1556717400,57.1,57.42,55.8,55.82,1501949,1820418.75
1556803800,55.77,56.5009,54.04,54.89,1447965,1772048.05
1556890200,55.08,56.73,54.55,56.46,1657836,1771948.25
1557149400,54.92,56.72,54.21,55.89,1610917,1769515.25
1557235800,54.98,55.5,52.31,53.23,2198813,1813805.25
1557322200,53.22,53.98,52.69,53.59,1481126,1732063.5
1557408600,52.78,54,51.52,53.5,1320747,1646073.05
1557495000,53.05,53.8823,50.95,53.05,1398468,1657049.85
1557754200,51.42,51.77,50.02,50.42,1607388,1672006.25
1557840600,51,52.84,50.9,52.54,2335795,1677471.7
1557927000,52.29,53.9,52,53.67,1300463,1682469.95
1558013400,53.69,55.32,53.69,54.74,1393606,1632643.65
1558099800,54.22,54.84,53.55,53.59,1017436,1586466.1
1558359000,52.77,53.69,51.9,53.17,1000000,1584297.9
1558445400,53.81,54.94,53.81,54.76,1353065,1577061.7
1558531800,54.59,55.28,54.02,54.78,1898654,1615882.55
1558618200,53.98,54,52.52,53.21,1248918,1554529.9
1558704600,53.76,54.76,53.51,54.1,988684,1526114.25
1559050200,54.25,55.1,53.88,54.47,5576263,1729054.05
1559136600,53.96,54.82,52.775,54.38,1448356,1689322.45
1559223000,54.51,55.7,54.51,55.48,1471241,1687787.05
1559309400,54.3,56.42,54.0701,56.06,2904358,1760606.7
1559568600,56,56.1,50.25,50.57,4240006,1889715.2
1559655000,52.5,53,50.735,52.94,2249520,1921645.35
1559741400,53.64,53.94,51.89,53.32,2409681,1932188.75
1559827800,53.77,54.94,52.77,54.74,5257994,2121032.15
1559914200,47.02,49.23,45.675,48.16,20954428,3102716.2
1560173400,49.63,49.89,47.6,48.31,5639426,3314764.1
1560259800,48.58,48.9,47.32,47.9,3807689,3424779.15
1560346200,47.9,48.45,47.54,48.08,1578520,3386915.4
1560432600,48.45,48.49,47.61,48.28,2095036,3426644.05
1560519000,47.81,51,47.8,50.78,4208811,3567404.3
1560778200,50.9,53.3645,50.8,52.75,3103865,3671725.75
1560864600,53.19,54.2,52.66,53.51,3024183,3772934.9
1560951000,53.56,53.8799,52.125,53.09,1755222,3793042.75
1561037400,54,54.96,53.7,54.87,2727583,3834489.2
1561123800,54.25,54.87,52.65,52.83,3092318,3926659.2
1561383000,52.95,53.38,50.86,51.01,2730987,4013774.35
1561469400,50.95,51.57,49.73,49.83,1790919,3824507.15
1561555800,50.16,50.65,49.49,49.49,2086196,3856399.15
1561642200,49.65,51.14,49.55,50.65,2625999,3914137.05
1561728600,50.69,51.085,49.23,49.71,6188818,4078360.05
1561987800,50.53,51.16,49.52,50.65,1896995,3961209.5
1562074200,50.84,51.86,50.21,51.34,1835249,3940495.95
1562160600,51.44,51.8,50.65,51.65,1287753,3884399.55
1562333400,50.91,52.2,50.7,52.16,1292914,3686145.55
1562592600,52,52.235,51.33,51.65,1199087,2698378.5
1562679000,51.46,52.52,51.27,52,2480752,2540444.8
1562765400,52.34,53,51.34,51.35,1999791,2450049.9
1562851800,51.76,53.88,51.745,53.8,2353545,2488801.15
1562938200,53.85,53.9,52.5301,53.2,1210923,2444595.5
1563197400,53.5,54.17,52.9,54.05,845917,2276450.8
1563283800,54,54.09,53.32,53.62,953888,2168951.95
1563370200,54.28,54.3,52.39,52.77,1720907,2103788.15
1563456600,52.51,53.3,52.41,53.05,2874303,2159742.2
1563543000,53.49,53.49,52.16,52.42,1180658,2082395.95
1563802200,52.68,52.97,52.02,52.37,2029414,2029250.75
1563888600,52.51,53.23,52.21,52.94,836827,1934542.75
1563975000,52.67,54.53,52.53,54.35,1211667,1905580.15
1564061400,54.3,54.3,52.23,52.47,2386533,1920597
1564147800,52.81,54.78,52.67,54.68,2809139,1929754
