time,open,high,low,close,Volume,Volume MA
1556285400,230.79,230.79,227.69,228.97,276088,676547.6
1556544600,229.87,229.87,226.37,226.78,1040777,694052.25
1556631000,226,227.1401,222.67,224.84,753902,702061.6
1556717400,224.97,227.65,224.52,225,1010476,709600.3
1556803800,224.53,226.25,223,224.23,616026,700502.65
1556890200,225.21,229.28,224.315,228.28,942027,714277.5
1557149400,223.72,229.25,220.1101,228.5,950734,708704
1557235800,227.59,228.79,223.21,225.65,882841,725705.25
1557322200,233.89,242.86,230.51,238.9,1166352,753122.15
1557408600,226.52,237.86,222.4,231.41,1515983,796952.05
1557495000,231.57,234.68,224.31,228.02,765962,813077.25
1557754200,223.4,228.07,218.3,225.8,885475,827924.05
1557840600,227.5,229.11,225.26,226,583038,813597.05
1557927000,224.62,231.73,224.02,229.52,805252,809964.2
1558013400,229.58,239.89,229.48,237.83,598260,804162.95
1558099800,235.29,240.36,234.35,234.96,376874,769394.9
1558359000,233.1,234.35,229.03,232.28,512024,765672.2
1558445400,233.87,234.4457,227.52,228.51,1449173,805309.25
1558531800,227.5,229.305,224.07,226.42,1919706,878473.6
1558618200,224.73,226.37,221.36,223.29,1182468,911671.9
1558704600,224.33,225.09,221.655,222.88,1092909,952512.95
1559050200,223.8,227.69,222.55,224.5,1088989,954923.55
1559136600,222.6,224,219.7989,222.07,627213,948589.1
1559223000,222.26,224.53,220.35,222.21,671591,931644.85
1559309400,220.12,222.49,219.07,220.85,436579,922672.5
1559568600,220.56,221.42,212.265,214.77,1022468,926694.55
1559655000,217.02,223.12,215.11,222.97,762208,917268.25
1559741400,224.8,228.145,222.67,227.58,773035,911777.95
1559827800,229.6,229.94,224.28,226.1,473733,877147
1559914200,226.32,229.975,226.32,228.18,524714,827583.55
1560173400,229.56,233.2,228.56,229.1,613083,819939.6
1560259800,231.61,232.05,224.84,227.46,516087,801470.2
1560346200,228,229.45,226.66,229.23,298859,787261.25
1560432600,230.1,232.83,228.41,230.78,426316,768314.45
1560519000,230.71,232.4968,226.36,228.42,458373,761320.1
1560778200,229.82,231.47,228.1,229.22,470846,766018.7
1560864600,230.7,234.05,227.3,227.58,737865,777310.75
1560951000,225.2,227.5659,218.57,225.39,603107,735007.45
1561037400,228.41,229.4,223,224.89,751103,676577.3
1561123800,224.01,226.175,217.355,219.19,888274,661867.6
1561383000,220.73,227.65,220.435,226.52,1175020,665973.15
1561469400,227.05,227.62,211.81,212.92,1658166,694432
1561555800,213.19,218.34,213.19,216.25,1230174,724580.05
1561642200,217.27,220.21,217.07,218.15,950154,738508.2
1561728600,217.91,220.6,216.01,217.53,1360138,784686.15
1561987800,220.69,224.945,219.57,222.04,443265,755726
1562074200,222.38,224.855,218.95,224.59,551694,745200.3
1562160600,225,228.38,224.71,227.1,242696,718683.35
1562333400,226,229.11,224.35,227.66,505237,720258.55
1562592600,226.02,227.84,224.67,226,320041,710024.9
1562679000,225.73,230.01,225.73,228.66,491546,703948.05
1562765400,229.27,232.91,228.8529,232.2,408529,698570.15
1562851800,233.3,234.73,229.79,230.34,374796,702367
1562938200,231.66,233.25,229.66,232.13,458854,703993.9
1563197400,232.14,234.43,231.42,234.16,200898,691120.15
1563283800,233.09,236.13,230.95,231.39,407758,687965.75
1563370200,232.37,235.11,230.34,232.54,486071,675376.05
1563456600,231.88,240.63,231.88,238.96,724743,681457.85
1563543000,240.6,244.87,238.16,238.22,570323,672418.85
1563802200,239.86,243.11,238.47,240.85,424121,649211.2
1563888600,242.69,242.69,237.685,240.54,339848,607452.6
1563975000,240.11,244.69,240,244.31,381678,543628.2
1564061400,244.28,245.23,241.47,243.35,446124,504425.7
1564147800,245.37,246.55,242.71,244.38,324774,473156.7
1564407000,244.01,244.93,240.31,243,283083,419303.95
1564493400,242,242.6,239.19,239.9,413169,417799.15
1564579800,240.32,242.21,237.02,239.05,371522,408790.55
1564666200,238.34,244.599,238.34,238.74,728549,433083.2
1564752600,238.29,242.69,235.47,236.77,770103,446326.5
1565011800,232.39,233.99,224.67,228.31,812164,470932.65
1565098200,230.41,234.71,230.34,233.18,645692,478639.95
1565184600,256.72,268.72,244.56,258.28,1781377,547282.35
1565271000,249.25,259.99,246.3101,256.82,2085125,632798.8
1565357400,261.68,262.1,248.55,254.46,986917,659201.95
1565616600,254.86,254.86,241.6208,245.03,1123931,705353.6
1565703000,242.55,249.71,239.015,239.58,1291697,749550.55
1565789400,236.06,240.69,233.54,240.36,768869,763690.45
1565875800,239.98,246.51,238,245,834486,769177.6
1565962200,245.96,250.33,245.03,249.17,637030,772512.95
1566221400,252.71,252.71,244.43,249.79,1002383,801426.05
1566307800,249.47,254.28,247.95,253,825052,825686.25
1566394200,255.6,260.38,254.43,259.07,1047452,858974.95
1566480600,259.69,261.74,256.85,260.66,698116,871574.55
1566567000,259.13,262.9,255.51,255.88,834656,897068.65
1566826200,259.33,259.4589,251.55,254.99,1030599,934444.45
1566912600,257.2,259.54,251.91,253.07,868512,957211.6
1566999000,252.86,254.06,249.05,252.95,581788,967724.9
1567085400,254.52,256.26,251.03,254.26,638441,963219.5
1567171800,256.33,257.41,252.12,254.64,724909,960959.8
1567517400,252.73,258.25,251.97,254.29,1003723,970537.75
1567603800,256,257.32,253.09,255.09,504038,963455.05
1567690200,257.76,259.39,240.11,244.89,1508960,949834.2
1567776600,245,248.15,243.12,244.79,677531,879454.5
1568035800,245.88,245.88,235.21,237,707885,865502.9
1568122200,235.54,237.43,229.925,230.92,849569,851784.8
1568208600,230.81,236.16,228.18,229.24,680800,821239.95
1568295000,230.15,234.65,229.88,229.96,505340,808063.5
1568381400,228.44,229.9967,227.02,227.39,498567,791267.55
1568640600,225.78,229.68,224.82,229.23,568366,787834.35
1568727000,232.53,238.08,231.02,236.59,865101,780970.25
1568813400,237.69,237.69,229.21,233.25,835204,781477.85
1568899800,233.16,235.54,231.74,233.01,742427,766226.6
1568986200,234.75,235.19,230.54,230.95,1124105,787526.05
1569245400,231.58,233.86,229.7,232.44,697670,780676.75
1569331800,233.49,236.57,222.89,224.55,1453065,801800.05
1569418200,225.65,228.63,210.32,220.49,2019366,859342.75
1569504600,219.48,223.16,218.8,221.88,1015345,881020.6
1569591000,224.48,225.4,217.92,220.08,1241497,911173.4
1569850200,221.26,221.685,215.9,217.97,1472107,948533.3
1569936600,217.37,221.333,216.76,218.4,777273,937210.8
1570023000,216.89,217.31,213.55,217.01,637386,943878.2
1570109400,217.12,222.9,215.07,221.09,979480,917404.2
1570195800,221.66,224.91,219.83,221.1,850983,926076.8
1570455000,225.51,228.61,222.85,227.42,997668,940565.95
1570541400,222.42,226.13,220.89,222.27,699645,933069.75
1570627800,222.8,227.34,221.23,225.17,508509,924455.2
1570714200,224.56,229.21,222.43,225.07,708086,934592.5
1570800600,238.45,239,226.18,227.03,2175865,1018457.4
1571059800,227.02,229.17,223.76,226.51,589826,1019530.4
1571146200,226.51,230.73,225.08,229.88,676698,1010110.25
1571232600,228.12,232.74,226.0301,232.14,597472,998223.65
1571319000,233.62,233.62,230.505,231.63,491556,985680.1
1571405400,231.01,231.945,221.68,221.85,762904,967620.05
1571664600,224.49,226.82,221.27,225.39,897333,977603.2
1571751000,226.08,226.08,221.05,222.01,695508,939725.35
1571837400,221.87,226.49,221.13,223.88,815734,879543.75
1571923800,225.59,228.86,225,226.46,582021,857877.55
1572010200,226.51,229.14,226.3311,226.83,534798,822542.6
1572269400,226.85,229.19,224.74,227.55,710050,784439.75
1572355800,226.99,230,224.47,224.61,395145,765333.35
1572442200,225.65,228.15,223.59,227.02,760850,771506.55
1572528600,228,229.81,226.62,227.25,741393,759602.2
1572615000,226.72,232.27,226.04,229.56,921312,763118.65
1572877800,229.66,231.32,225.01,225.44,927746,759622.55
1572964200,225.5,228.31,221.74,222.05,1342264,791753.5
1573050600,203.45,215.39,202.5131,212.59,2085036,870579.85
1573137000,223.57,228.61,216.74,220.74,1930427,931696.9
1573223400,220.5,222.84,216.83,219.95,848423,865324.8
1573482600,219.09,221.3,218.415,220.23,624309,867048.95
1573569000,218.99,220.92,216.48,218.44,592281,862828.1
1573655400,218.52,219.68,216.83,218.5,737833,869846.15
1573741800,217.4,220.21,216.915,220.07,915372,891036.95
1573828200,220.78,223.07,218.925,221.82,447732,875278.35
1574087400,221.25,224.56,221.005,224.48,831742,871998.8
1574173800,225.31,227.47,224.07,226.68,702768,872361.8
1574260200,225.95,228.25,221.39,224.45,726818,867916
1574346600,223.51,227.71,221.71,221.82,797251,878677.5
