time,open,high,low,close,Volume,Volume MA
1556285400,139.34,139.89,138.81,139.44,2319834,3785176.1
1556544600,139.15,139.63,138.81,139.05,2958333,3778020.05
1556631000,139.11,140.44,138.68,140.27,4638828,3810748.95
1556717400,140.55,141.81,140.17,140.56,3053683,3843187.1
1556803800,140.5,141.28,139.41,139.59,3541352,3886172.45
1556890200,139.7,141,139.63,140.25,2580034,3876601.05
1557149400,138.3,140.69,137.9,140.38,2793655,3879684.55
1557235800,139.15,139.51,136.19,137.64,4726771,4010111.7
1557322200,137.77,138.7,137.13,138,3818909,4049134.15
1557408600,134.89,135.5848,133.03,135.34,4192942,4124865.75
1557495000,134.88,135.75,132.42,135.32,3977686,4176650.8
1557754200,133.28,133.57,130.96,131.42,4958021,4279606.9
1557840600,131.82,134.32,131.68,133.31,3280374,4263467.7
1557927000,132.59,134.59,132.37,134.4,2551009,4075934.6
1558013400,134.74,136.11,134.64,135.88,3017472,3600523.55
1558099800,134.68,135.41,133.94,134.32,2619135,3483479.55
1558359000,133.53,135.43,132.9308,135.12,3264649,3421995.35
1558445400,136.12,137.06,135.79,136.45,2503504,3324058.55
1558531800,136,136.75,135.7116,136.35,1849821,3277806.25
1558618200,135.13,135.13,130.44,132.39,5343437,3399472.45
1558704600,133.53,134.245,131.59,132.28,2596121,3413286.8
1559050200,132.13,132.64,130.27,130.46,4909121,3510826.2
1559136600,130,130.28,128.32,129.69,3678978,3462833.7
1559223000,129.74,129.97,128.93,129.57,2741880,3447243.55
1559309400,128.44,128.44,126.85,126.99,3539343,3447143.1
1559568600,127.1,128.56,127.06,128.27,4267080,3531495.4
1559655000,129.56,132.74,129.085,132.69,3913535,3587489.4
1559741400,133.38,133.61,130.47,131.49,3161584,3509230.05
1559827800,132.19,132.65,130.9,132.22,2298248,3433197
1559914200,132.47,134.72,132.21,133.31,2553398,3351219.8
1560173400,134.38,135.3526,133.91,134.74,2911327,3297901.85
1560259800,135.32,136.46,135.05,135.95,3407345,3220368.05
1560346200,135.56,135.94,134.41,134.87,2254741,3169086.4
1560432600,135.13,136.27,135.09,135.76,2955419,3189306.9
1560519000,135.44,135.88,134.43,135.15,2193367,3148101.65
1560778200,135.39,136.03,134.7,134.95,2194129,3126851.35
1560864600,135.2,137.19,135.2,136.38,2914698,3109353.8
1560951000,136.43,138.36,136.24,137.08,2382520,3103304.6
1561037400,138.93,139.54,138.2,138.85,3071017,3164364.4
1561123800,138.44,139.54,138.39,139.2,5288759,3161630.5
1561383000,139.2,140.15,139.05,139.35,2186137,3141131.3
1561469400,139.46,139.55,138.13,138.36,2801251,3035737.8
1561555800,138.87,139.68,138.4073,138.52,2284567,2966017.25
