time,open,high,low,close,Volume,Volume MA
1556285400,52.74,53.09,51.52,52.43,72364512,21094416.95
1556544600,52.17,52.43,51,51.11,42142301,22264728.3
1556631000,51,51.43,50.87,51.04,27130855,22729749.2
1556717400,51.1,51.6,50.74,50.76,20467582,23067902.75
1556803800,50.8,51.325,50.12,50.55,22655397,22973030.7
1556890200,51.08,51.82,50.73,51.75,25656641,23429840.1
1557149400,50.25,51.28,50.19,51.22,26245240,23778682.3
1557235800,50.6,50.88,49.93,50.48,29713382,24676410.25
1557322200,50.2,50.79,49.07,49.24,36812429,25850047.85
1557408600,47.9,48.29,46.05,46.62,59642160,28177953.75
1557495000,46.44,46.8,45.1,46.2,42522778,29761801.7
1557754200,45.33,45.64,44.7,44.76,39091928,31070888.85
1557840600,45.18,45.485,44.87,45.17,24706458,31722366.25
1557927000,44.92,45.75,44.76,45.62,23407893,31377664.25
1558013400,45.47,45.95,45.42,45.53,19954653,30435974.5
1558099800,45.18,45.73,44.7637,44.89,22500360,30537782.65
1558359000,44,44.52,43.4538,43.56,28674965,31355156.7
1558445400,44.34,44.78,44.175,44.46,25543371,31745328.8
1558531800,44.15,44.46,43.845,44,16932520,31705767.55
1558618200,43.37,44.74,42.86,44.53,35783928,32097467.65
1558704600,44.59,45.05,44.49,44.57,27168066,29837645.35
1559050200,44.66,44.69,43.3,43.57,34779863,29469523.45
1559136600,43.35,44.53,43.3333,44.23,28450341,29535497.75
1559223000,44.3,45.03,44.23,44.73,21618859,29593061.6
1559309400,44.18,44.79,43.93,44.04,25532529,29736918.2
1559568600,44.25,44.585,43.2,43.46,31155678,30011870.05
1559655000,44.16,44.855,43.77,44.79,28094917,30104353.9
1559741400,45.11,45.18,44.19,44.55,20802012,29658785.4
1559827800,44.75,45.17,44.505,45.1,19076170,28771972.45
1559914200,45.25,46.12,45.1,46.03,24370253,27008377.1
1560173400,46.23,47.19,46.2,46.8,20806083,25922542.35
1560259800,47.26,47.32,46.52,46.85,18415495,24888720.7
1560346200,46.67,46.67,46.25,46.32,15900569,24448426.25
1560432600,46.6,46.955,46.53,46.7,12267633,23891413.25
1560519000,45.83,46.42,45.5459,46.19,15381077,23662734.45
1560778200,46.14,46.53,45.8,46.13,12643343,23169883.6
1560864600,46.75,48,46.6,47.37,25732293,23022750
1560951000,47.48,47.58,47,47.07,17436381,22617400.5
1561037400,47.87,48.05,46.87,47.19,20126780,22777113.5
1561123800,46.95,47.73,46.8,47.46,31096251,22542729.65
1561383000,47.4,47.8455,47.17,47.63,14479942,21908323.45
1561469400,47.56,47.68,46.8,46.85,16665577,21002609.15
1561555800,47.65,48.48,47.56,48.19,21886309,20674407.55
1561642200,48.15,48.42,47.24,47.46,23062947,20746611.95
1561728600,47.77,48.2,47.68,47.87,26646183,20802294.65
1561987800,49.29,49.45,47.745,48.05,27505447,20619783.1
