time,open,high,low,close,Volume,Volume MA
1564061400,40.51,45.46,37.74,38.1,14798181,NaN
1564147800,37.75,40.5,37.26,38.12,2633142,NaN
1564407000,38.84,42,38.2228,41.63,1410637,NaN
1564493400,41.46,42.8,40.1,41,910374,NaN
1564579800,41.11,45.68,41.11,44.25,2864558,NaN
1564666200,43.97,44.4999,41.01,41.01,526984,NaN
1564752600,41.01,41.01,36.67,37.49,1230676,NaN
1565011800,36.5,36.5,33.2,33.53,803876,NaN
1565098200,34.16,35.97,31.5982,33.15,603363,NaN
1565184600,32.8,34.71,31.78,33.21,547428,NaN
1565271000,33.22,35.36,33.12,33.21,570651,NaN
1565357400,34.71,38.44,34.5,37.57,1155449,NaN
1565616600,37.57,38.969,35.51,36.94,574970,NaN
1565703000,36.86,38.89,36.03,36.25,472616,NaN
1565789400,36,36.08,32.51,33.92,816947,NaN
1565875800,34.08,34.8672,33.57,34.03,258848,NaN
1565962200,34.5,37.04,34.5,36.79,406833,NaN
1566221400,37.7,38.98,34.31,36.5,813411,NaN
1566307800,36.32,37.99,34.95,34.99,383560,NaN
1566394200,35.25,36.9549,34.5014,34.95,493427,1613796.55
1566480600,35.5,36.2465,35.2401,35.42,351110,891443
1566567000,35.5,35.975,34.37,34.64,139083,766740.05
1566826200,34.88,35.5,31.34,31.34,1446215,768518.95
1566912600,31.82,32.25,29.52,29.69,1054095,775705
1566999000,30.99,31.5,29.8,30.04,812222,673088.2
1567085400,30.5,31.23,30.01,30.84,424123,667945.15
1567171800,30.96,31.99,29.63,30.64,682046,640513.65
1567517400,30.61,31.3763,30.01,30.23,508047,625722.2
1567603800,30.91,31,29.85,30.89,894970,640302.55
1567690200,30.01,31.29,23.7,25.55,5734689,899665.6
1567776600,25.99,27.36,25.8212,26.06,1169419,929604
1568035800,26.29,26.8,23.22,23.47,1517642,947713.65
1568122200,23.36,24,22.88,23.35,1377301,987830.2
1568208600,23.5,24.3977,23.45,23.93,1222543,1025326.55
1568295000,24.16,25.6,24.16,25.28,1333561,1051157.25
1568381400,25.21,26.19,24.36,24.64,553592,1065894.45
1568640600,24.81,25.22,23.45,23.48,957158,1093410.7
1568727000,23.52,24,22.3,22.57,1174829,1111481.6
1568813400,22.55,23.18,21.9,22.59,1013085,1142957.85
1568899800,22.69,23.3,22.45,23.06,880475,1162310.25
1568986200,22.97,23.93,22.69,23.86,2578694,1273689.45
1569245400,23.85,24.35,22.3,22.49,771966,1305333.6
1569331800,22.47,22.49,19.23,19.39,3099681,1388006.9
1569418200,19.69,19.69,18.15,19,1668189,1418711.6
1569504600,18.91,19.05,17.578,17.89,1152400,1435720.5
1569591000,17.89,18.1542,16.65,17.05,1440486,1486538.65
1569850200,17.11,17.6874,16.8539,17.44,924670,1498669.85
1569936600,17.53,17.535,15.7,15.92,1387253,1542630.15
1570023000,15.57,16.99,15.12,16.87,1484119,1572087.6
1570109400,16.88,18.08,16.7327,17.66,861526,1328429.45
1570195800,17.73,17.9178,16.8,17.32,985644,1319240.7
1570455000,19.24,20.8,17.8,20.5,2915799,1389148.55
1570541400,20.61,20.75,18.89,19.1,1686500,1404608.5
1570627800,19.11,19.5,18.3018,19.12,1826546,1434808.65
1570714200,19.12,19.52,18.63,18.86,967061,1416483.65
1570800600,18.95,19.205,17.41,17.64,1410643,1459336.2
1571059800,17.58,18.5595,17.25,18.45,862406,1454598.6
1571146200,18.65,19.64,18.5025,19.46,966807,1444197.5
1571232600,19.46,20.5,18.975,20.33,714187,1429252.6
1571319000,19.98,21.5,19.78,21.22,1362250,1453341.35
1571405400,21.24,21.44,20.4,20.62,745592,1361686.25
1571664600,20.58,21.176,19.82,20,889074,1367541.65
1571751000,20,21.37,20,20.96,510530,1238084.1
1571837400,21.12,21.5,20.5,21.32,386273,1173988.3
1571923800,21.6,21.86,20.26,20.97,555110,1144123.8
1572010200,20.84,21.3399,20.53,21.17,416978,1092948.4
1572269400,21.27,22.85,21.155,22.67,1073827,1100406.25
1572355800,22.79,22.95,21.5,21.84,696918,1065889.5
1572442200,21.97,22.245,20.95,21.45,598097,1021588.4
1572528600,21.5,22.0795,20.92,21.59,404159,998720.05
1572615000,21.68,22.72,21.38,22.52,653332,982104.45
1572877800,22.78,24.63,22.52,23.52,1518026,912215.8
1572964200,23.33,23.47,22.5,22.69,854206,870601.1
1573050600,22.63,22.89,20.39,21.2,1856782,872112.9
1573137000,25.81,27.73,23.96,24.43,3599160,1003717.85
1573223400,24.51,25.62,24.0906,25.25,853941,975882.75
1573482600,24.81,26.72,24.58,25.88,792948,972409.85
1573569000,26.05,26.45,25.3,25.6,672228,957680.9
1573655400,25.45,26.9,24.84,26.71,821849,963064
1573741800,26.76,26.99,24.87,25.36,519064,920904.7
1573828200,25.63,26.2,25.19,25.55,436563,905453.25
1574087400,25.56,26.075,25.25,25.55,520788,887038.95
1574173800,25.96,29.24,25.96,28.44,1528446,937934.75
1574260200,29.05,29.27,27.18,27.96,864688,961855.5
1574346600,28.21,29.02,27.61,28.26,564983,962349.15
1574433000,28.76,28.76,27.27,28.4,381502,960575.35
1574692200,28.44,28.9,28.09,28.55,465203,930144.15
1574778600,28.33,30,28.29,28.88,826076,936602.05
1574865000,28.9,29.83,28.69,29.2,503748,931884.6
1575037800,28.93,29.18,28.1001,28.56,301067,926730
1575297000,28.71,28.888,26.29,27.68,620449,925085.85
1575383400,25.89,27.2816,25.51,26.76,718822,885125.65
1575469800,26.82,27.44,26.23,26.8,479023,866366.5
1575556200,26.65,27.11,26.35,26.85,444603,795757.55
1575642600,27.03,28.69,26.77,28.01,508367,641217.9
1575901800,28,28.2999,27.11,27.43,458986,621470.15
1575988200,25.83,26.5,24.75,26.1,1676945,665670
1576074600,26.08,28.03,25.69,27.54,932479,678682.55
1576161000,28.01,28.48,26.67,27.04,3602223,817701.25
1576247400,27.13,27.25,25.85,25.9,1098799,846688
1576506600,26.41,27.29,25.83,26.56,825730,866146.35
1576593000,26.66,26.7999,25.91,26.34,403715,860292.7
1576679400,26.28,26.5572,25.87,25.93,491515,808446.15
1576765800,26.08,27,25.95,26.59,603731,795398.3
1576852200,26.77,26.844,26,26.26,484249,791361.6
1577111400,26.36,26.7,25.33,26.57,816415,813107.25
1577197800,26.67,26.67,25.86,26.19,287282,804211.2
1577370600,26.01,26.194,24.75,24.86,1184020,822108.4
1577457000,25.11,25.11,23.52,24.24,1088675,851354.75
1577716200,24.14,24.28,23.25,24.08,529226,862762.7
1577802600,24.01,25.12,23.8598,25.06,634736,863477.05
1577975400,25.3,25.46,24.3125,25.22,591410,857106.45
1578061800,24.6,25.45,24.53,25.16,484407,857375.65
1578321000,25.01,25.31,24.41,25.04,452484,857769.7
1578407400,25.17,26.25,24.52,25.65,741989,869450.8
1578493800,25.53,26.35,25.39,26.08,757975,884400.25
1578580200,26.3,26.93,25.8,26.3,564703,828788.15
1578666600,26.65,27.88,26.4,27,1280400,846184.2
1578925800,28.56,29.89,28.17,28.55,1460079,739077
1579012200,28.82,31.36,27.87,30.82,1718174,770045.75
1579098600,31,31.82,30.18,30.9,1210694,789293.95
1579185000,31.17,31.47,29.41,29.715,973703,817793.35
1579271400,29.98,30.2,28.57,29.45,947513,840593.25
1579617000,29.5,29.535,28.52,28.9,1186267,869720.05
1579703400,28.5,28.9,28.02,28.29,1306779,910846.55
1579789800,28.33,28.71,27.75,28,1168975,928474.55
1579876200,28.16,28.3999,26.5201,27.21,1107567,969488.8
1580135400,26.3,26.7,25.62,25.72,1322996,976437.6
1580221800,26,26.09,24.7,25.87,1623447,1003176.2
