time,open,high,low,close
1556285400,129.7,130.5152,129.02,129.89
1556544600,129.9,130.18,129.35,129.77
1556631000,129.81,130.7,129.3947,130.6
1556717400,130.53,130.65,127.7,127.88
1556803800,127.98,128,125.52,126.21
1556890200,127.36,129.43,127.25,128.9
1557149400,126.39,128.56,126.11,128.15
1557235800,126.46,127.18,124.22,125.52
1557322200,125.44,126.37,124.75,125.51
1557408600,124.29,125.79,123.57,125.5
1557495000,124.91,127.93,123.82,127.13
1557754200,124.11,125.55,123.04,123.35
1557840600,123.87,125.88,123.7,124.73
1557927000,124.26,126.71,123.7,126.02
1558013400,126.75,129.38,126.46,128.93
1558099800,128.305,130.46,127.92,128.07
1558359000,126.52,127.5894,125.7607,126.22
1558445400,127.43,127.5273,126.58,126.9
1558531800,126.62,128.24,126.52,127.67
1558618200,126.2,126.29,124.74,126.18
1558704600,126.91,127.415,125.97,126.24
1559050200,126.98,128,126.05,126.16
1559136600,125.38,125.39,124.04,124.94
1559223000,125.26,125.76,124.78,125.73
1559309400,124.23,124.615,123.32,123.68
1559568600,123.85,124.37,119.01,119.84
1559655000,121.28,123.28,120.6522,123.16
1559741400,124.95,125.87,124.21,125.83
1559827800,126.44,127.97,125.6,127.82
1559914200,129.19,132.25,128.26,131.4
1560173400,132.4,134.08,132,132.6
1560259800,133.88,134.24,131.2757,132.1
1560346200,131.4,131.97,130.71,131.49
1560432600,131.98,132.67,131.56,132.32
1560519000,132.26,133.79,131.64,132.45
1560778200,132.63,133.73,132.53,132.85
1560864600,134.19,135.24,133.57,135.16
1560951000,135,135.93,133.81,135.69
1561037400,137.45,137.66,135.72,136.95
1561123800,136.58,137.73,136.46,136.97
1561383000,137,138.4,137,137.78
1561469400,137.25,137.59,132.73,133.43
1561555800,134.35,135.74,133.6,133.93
1561642200,134.14,134.71,133.51,134.15
1561728600,134.57,134.6,133.1558,133.96
1561987800,136.63,136.7,134.97,135.68
1562074200,136.12,136.59,135.34,136.58
1562160600,136.8,137.74,136.295,137.46
1562333400,135.94,137.33,135.72,137.06
1562592600,136.4,137.1,135.3701,136.96
1562679000,136,136.97,135.8,136.46
1562765400,137.13,138.58,137.02,137.85
1562851800,138.2,139.22,137.87,138.4
1562938200,138.85,139.13,138.0099,138.9
1563197400,139.44,139.54,138.46,138.9
1563283800,138.96,139.05,136.52,137.08
1563370200,137.7,137.93,136.22,136.27
1563456600,135.55,136.62,134.67,136.42
1563543000,140.22,140.67,136.45,136.62
1563802200,137.41,139.19,137.33,138.43
1563888600,139.76,139.99,138.03,139.29
1563975000,138.9,140.74,138.85,140.72
1564061400,140.43,140.61,139.3215,140.19
1564147800,140.37,141.675,140.3,141.34
1564407000,141.5,141.51,139.3663,141.03
1564493400,140.14,141.2199,139.8005,140.35
1564579800,140.33,140.49,135.08,136.27
1564666200,137,140.9383,136.93,138.06
1564752600,138.09,138.32,135.26,136.9
1565011800,133.3,133.9298,130.78,132.21
1565098200,133.8,135.68,133.21,134.69
1565184600,133.79,135.65,131.8284,135.28
1565271000,136.6,138.99,135.93,138.89
1565357400,138.61,139.38,136.46,137.71
1565616600,137.07,137.86,135.24,135.79
1565703000,136.05,138.8,135,138.6
1565789400,136.36,136.92,133.67,133.98
1565875800,134.39,134.58,132.25,133.68
1565962200,134.88,136.46,134.72,136.13
1566221400,137.855,138.55,136.885,138.41
1566307800,138.21,138.71,137.24,137.26
1566394200,138.55,139.4935,138,138.79
1566480600,138.66,139.2,136.29,137.78
1566567000,137.1897,138.35,132.8,133.39
1566826200,134.99,135.56,133.9,135.45
1566912600,136.39,136.72,134.66,135.74
1566999000,134.88,135.76,133.55,135.56
1567085400,137.25,138.44,136.91,138.12
1567171800,139.15,139.18,136.27,137.86
1567517400,136.61,137.2,135.7,136.04
1567603800,137.3,137.69,136.48,137.63
1567690200,139.11,140.3837,138.76,140.05
1567776600,140.03,140.18,138.2,139.1
1568035800,139.59,139.75,136.46,137.52
1568122200,136.8,136.8862,134.51,136.08
1568208600,135.91,136.27,135.09,136.12
1568295000,137.85,138.42,136.87,137.52
1568381400,137.78,138.06,136.57,137.32
1568640600,135.83,136.7,135.66,136.33
1568727000,136.96,137.52,136.425,137.39
1568813400,137.36,138.67,136.5299,138.52
1568899800,140.3,142.37,140.0736,141.07
1568986200,141.01,141.65,138.25,139.44
1569245400,139.23,139.63,138.44,139.14
1569331800,140.36,140.69,136.88,137.38
1569418200,137.5,139.958,136.03,139.36
1569504600,139.44,140.18,138.44,139.54
1569591000,140.15,140.36,136.645,137.73
1569850200,138.05,139.215,137.78,139.03
1569936600,139.66,140.25,137,137.07
1570023000,136.25,136.37,133.5799,134.65
1570109400,134.95,136.75,133.22,136.28
1570195800,136.75,138.25,136.42,138.12
1570455000,137.14,138.18,137.02,137.12
1570541400,137.08,137.76,135.62,135.67
1570627800,137.46,138.7,136.97,138.24
1570714200,138.49,139.6699,138.25,139.1
1570800600,140.12,141.03,139.5,139.68
1571059800,139.69,140.29,139.52,139.55
1571146200,140.06,141.79,139.81,141.575
1571232600,140.79,140.99,139.53,140.41
