time,open,high,low,close,Volume,Volume MA
1556285400,180.71,180.8876,173.3,178.09,21724729,11431398.1
1556544600,178.41,180.45,175.5,179.33,9797983,11350178.3
1556631000,178.03,182.03,177.26,181,9073040,11199049.7
1556717400,183.11,184.81,180.46,180.47,8857031,11090751.45
1556803800,180.86,184.87,179.115,183.19,9867135,10598134.8
1556890200,183.53,183.93,180.53,183.01,8420587,10447443.2
1557149400,175.5,180.34,174,179.85,10554445,10372983
1557235800,177.9,177.9,171.17,173.11,13880458,10536763.5
1557322200,172,177.15,171.52,173.92,10479154,10510755.2
1557408600,171.14,171.53,165.4,170.19,16506164,10780098.05
1557495000,168.95,171.59,164,168.82,14237451,11023718.75
1557754200,163.5,164.43,157.81,158.45,16422819,11255226.5
1557840600,160.05,163.46,158.4904,162.04,13121972,11361207.85
1557927000,159.8,161.05,157.41,159.58,12558001,11495403.35
1558013400,159.36,161.905,157.65,160.19,19527204,12033010.15
1558099800,158.5,163.71,154.94,156.53,25551698,12834359.85
1558359000,152.55,154.77,150.75,151.75,14301634,13199522.15
1558445400,154.2,155.7,152.64,155.06,9046247,13218265.45
1558531800,153.5,154.55,151.76,152.2,8146740,13227846.45
1558618200,149.69,149.69,144.9112,147.32,14796109,13343530.05
1558704600,148.08,149.5,144.88,145.15,8939632,12704275.2
1559050200,145.86,147.18,143.25,143.33,10708852,12749818.65
1559136600,141.41,142.82,138.94,140.34,13995037,12995918.5
1559223000,140.31,141.7499,137.57,139.11,9857490,13045941.45
1559309400,137.14,138.4491,135.39,135.46,9742992,13039734.3
1559568600,135.91,137.47,132.6,133.78,11966080,13217008.95
1559655000,136.36,143.21,135.4675,143,16045885,13491580.95
1559741400,145.97,146.19,139.82,141.28,12790385,13437077.3
1559827800,141.45,144.77,141.35,143.78,10203462,13423292.7
1559914200,144.02,146.88,143.25,145.5,8721438,13034056.4
1560173400,147.76,151.19,147.76,148.43,10069522,12825659.95
1560259800,150.84,152.36,149.16,150.75,9596751,12484356.55
1560346200,149,149.25,145.59,146.2,8972298,12276872.85
1560432600,147.09,149,146.38,148.26,7702027,12034074.15
1560519000,144.51,145.49,142.836,144.64,9860656,11550746.75
1560778200,144.57,146.5206,143.65,145.03,6901037,10618213.7
1560864600,147.5,155.11,147.06,152.88,14547950,10630529.5
1560951000,154.3,154.7568,152.0738,153.12,8291099,10592772.1
1561037400,156.77,157.33,153.5178,154.1,8754182,10623144.2
1561123800,153.5,155.48,151.5,151.76,10860672,10426372.35
1561383000,152.62,153.85,150.72,152.66,7073718,10333076.65
1561469400,152.86,155.88,151.37,151.48,7796661,10187467.1
1561555800,156.61,161.72,156.09,159.26,14601825,10217806.5
1561642200,162.71,164,161.26,163.23,11136038,10281733.9
1561728600,165,165.37,162.35,164.23,9941659,10291667.25
1561987800,172.57,173.95,164.66,166.17,17788327,10582779.6
1562074200,165.5,166.3493,161.7,162.23,10005688,10280769.75
1562160600,163.17,163.4,160.3415,162.75,6165856,9949543.3
1562333400,160.4,160.58,157.68,160.23,9913847,9935062.55
1562592600,157.83,158.59,156,157.21,8244669,9911224.1
1562679000,155.51,158.44,155,157.31,8571512,9836323.6
1562765400,159.06,162.3689,158.5,160.06,11301899,9921581
1562851800,163,167.92,161.5,166.28,17063964,10326164.3
1562938200,167.4,170.47,167.4,167.61,12659816,10574053.75
1563197400,168.46,169.1058,166.13,167.27,7245993,10443320.6
1563283800,166.67,168.17,164.8425,167.08,8536098,10525073.65
1563370200,167.15,169.99,165.974,169.71,8705107,10232931.5
1563456600,170.125,172.71,167.85,170.18,11079474,10372350.25
1563543000,171.72,171.98,168.2,168.44,8622395,10365760.9
1563802200,169.3,171.84,169,171.32,7898498,10217652.2
1563888600,172.9,175.74,172.27,175.66,10704414,10399187
1563975000,177.4,178.89,174.34,178.66,9155937,10467150.8
1564061400,176.99,177.5,172.44,173.38,9817453,10227932.2
1564147800,174.47,176.95,174.47,175.07,6853997,10013830.15
1564407000,174.78,175.4697,171.27,174.82,6204049,9826949.65
1564493400,172.95,175.94,172.37,175.45,4944261,9184746.35
1564579800,174.18,174.215,167.02,168.72,8985391,9133731.5
1564666200,169.14,172.78,162.8204,164.92,10530314,9351954.4
1564752600,161.19,163.98,159.28,161.19,10708732,9391698.65
1565011800,153.8,153.85,148.9,150.79,14728936,9715912
1565098200,153.8,155.63,150.43,152.35,9031767,9738924.75
1565184600,149.9,154.37,149.2,153.89,9314045,9639532.05
1565271000,156.21,158.31,153.9,158.26,7732472,9172957.45
1565357400,156.61,156.75,152.15,154.18,8545418,8967237.55
1565616600,152.08,154.18,150.57,151.45,6980012,8953938.5
1565703000,151.39,157.9,149.8201,156.05,9012811,8977774.15
1565789400,152.5035,152.95,148.3111,150.07,10497033,9067370.45
1565875800,150.83,151.63,147.394,148.77,13861551,9206474.3
1565962200,159.35,161.54,156.88,159.56,25384628,10044585.95
1566221400,164.12,171.42,163.47,170.78,20408061,10670064.1
1566307800,170.56,170.58,167.02,167.87,11588040,10714245.4
1566394200,170.53,173.45,169.66,171.23,10697773,10791337.2
1566480600,171.62,173.33,169.9045,171.48,7593918,10680160.45
1566567000,168.4,170.59,161.64,162.44,14237433,11049332.25
1566826200,165.61,166.58,163.91,165.45,7964854,11137372.5
1566912600,166.99,167.1,160.62,161.8,7288739,11254596.4
1566999000,160.58,163.34,159,161.22,6395703,11125112
1567085400,164.9,168.3,164.76,167,8959326,11046562.6
1567171800,168.86,170.86,166.78,167.51,7272712,10874761.6
1567517400,164.58,165.91,163.252,164.17,7412770,10508953.3
1567603800,166.61,169.06,166.61,168.76,5703009,10342515.4
1567690200,172.865,179.99,172.8,179.74,17412125,10747419.4
1567776600,178.8,181.09,177.12,178.65,9424419,10832016.75
1568035800,179.9,183.98,179.84,180.5,10438133,10926652.5
1568122200,179.18,184.25,178.79,183.18,8820305,11018667.15
1568208600,183.77,186.27,182.6006,184.33,9037782,11019915.7
1568295000,186.2,188.4,183.95,184.27,8196025,10904865.3
1568381400,181.59,183.08,180.18,181.94,8114787,10617527.1
1568640600,178.92,181.6,178.5,180.21,5795796,9638085.5
