time,open,high,low,close,Volume,Volume MA
1556285400,18.05,18.23,17.83,18.23,3026063,3620591.45
1556544600,17.97,18.095,17.8979,17.97,2323218,3632332.65
1556631000,18.29,18.4,18.23,18.35,2839072,3562451.7
1556717400,18.72,18.78,18.32,18.33,2404689,3551095.2
1556803800,18.34,18.5,18.135,18.38,3057877,3462523.2
1556890200,18.23,18.46,18.2034,18.45,2319296,3304704.85
1557149400,17.46,17.61,17.36,17.54,3103968,3266982.95
1557235800,17.43,17.44,16.895,17.16,5050232,3308935.05
1557322200,17.14,17.46,17.11,17.2,2507358,3265221.25
1557408600,16.72,16.935,16.43,16.84,5774356,3441162.15
1557495000,16.78,17.02,16.48,16.85,5106112,3580172.4
1557754200,16.16,16.22,15.66,15.71,14099375,4105954.15
1557840600,16.67,17.015,16.55,16.92,6349057,4254127.2
1557927000,16.72,17.55,16.71,17.35,5311395,4354830.35
1558013400,17.36,17.675,17.32,17.41,4436681,4339251.15
1558099800,17.27,17.5,16.935,16.99,5338461,4458158.3
1558359000,15.8,15.93,15.44,15.56,6575293,4683253.3
1558445400,16.39,16.5,16.205,16.36,5340777,4696255.7
1558531800,16.16,16.31,16.025,16.06,3851034,4659465.25
1558618200,15.44,15.48,15.155,15.45,4593669,4670399.15
1558704600,15.37,15.485,15.19,15.24,3816305,4709911.25
1559050200,15.32,15.42,15.0846,15.1,3162813,4751891
1559136600,14.8,15.28,14.775,15.16,4005465,4810210.65
1559223000,15.03,15.23,14.97,15.11,3608952,4870423.8
1559309400,15,15.31,14.95,15.04,3161499,4875604.9
1559568600,15.23,15.41,15.05,15.16,3604100,4939845.1
1559655000,15.64,15.99,15.51,15.98,2995463,4934419.85
1559741400,15.94,15.98,15.54,15.62,3623571,4863086.8
1559827800,15.64,15.71,15.43,15.63,1713562,4823397
1559914200,15.84,17.12,15.765,16.52,7119487,4890653.55
1560173400,16.3,16.545,16.251,16.34,4422262,4856461.05
1560259800,16.93,16.96,16.565,16.68,2517133,4277348.95
1560346200,16.65,16.65,16.28,16.29,2216788,4070735.5
1560432600,16.42,16.55,16.325,16.54,1856709,3898001.2
1560519000,15.81,15.87,15.695,15.81,2218824,3787108.35
1560778200,15.8,15.92,15.56,15.59,3021166,3671243.6
1560864600,15.62,16.3,15.6,16.11,5457364,3615347.15
1560951000,16.7,16.735,16.48,16.58,3372475,3516932.05
1561037400,17.32,17.33,16.975,17.15,4790173,3563889
1561123800,16.9,17.04,16.82,16.98,2640661,3466238.6
1561383000,16.95,17.12,16.9,17.02,1923246,3371585.65
1561469400,17.06,17.08,16.57,16.59,3223563,3374623.15
1561555800,17.39,17.44,17.095,17.12,2805180,3314608.9
1561642200,17.47,17.55,17.4,17.51,1506888,3209505.7
1561728600,17.77,17.84,17.61,17.62,5006259,3301743.7
1561987800,18.68,18.72,18.2,18.35,6511353,3447106.35
1562074200,18.23,18.26,17.93,18.02,5023677,3548517.05
1562160600,18.04,18.07,17.9548,18.01,2662865,3500481.75
1562333400,17.73,17.74,17.56,17.69,2548508,3542229.05
1562592600,17.56,17.58,17.38,17.5,1770678,3274788.6
1562679000,17.18,17.48,17.18,17.47,2151401,3161245.55
1562765400,17.8,17.945,17.59,17.66,2181087,3144443.25
1562851800,17.73,17.77,17.52,17.65,3601789,3213693.3
1562938200,17.71,17.88,17.69,17.86,1120213,3176868.5
1563197400,17.89,17.945,17.685,17.8,1355990,3133726.8
1563283800,17.65,17.815,17.53,17.67,1279342,3046635.6
1563370200,17.9,17.92,17.725,17.78,2197803,2883657.55
1563456600,17.78,18.16,17.78,18.08,3150659,2872566.75
1563543000,18.28,18.36,18.1365,18.19,1812072,2723661.7
1563802200,18.52,18.68,18.465,18.57,2310198,2707138.55
1563888600,19.02,19.06,18.87,19.03,2345172,2728234.85
1563975000,19.36,19.68,19.34,19.45,5203785,2827245.95
1564061400,19.39,19.41,18.84,19.02,5002299,2937101.9
1564147800,19.41,19.42,19.11,19.15,2827334,3003124.2
1564407000,19.06,19.11,18.8535,19.1,3092914,2907456.95
1564493400,18.6,18.7,18.49,18.65,1885389,2676158.75
1564579800,18.78,18.78,18.1,18.25,2915351,2570742.45
1564666200,18.39,18.8,17.665,17.97,2972725,2586235.45
1564752600,17.73,17.75,17.435,17.55,3439457,2630782.9
1565011800,17.06,17.1,16.66,16.82,2463782,2665438.1
1565098200,17.02,17.13,16.79,16.94,1912274,2653481.75
1565184600,16.85,17.13,16.81,17.06,1460393,2617447.05
1565271000,17.4,17.64,17.32,17.56,1713562,2523035.7
1565357400,17.77,17.86,17.45,17.73,2634241,2598737.1
1565616600,17.62,17.7,17.43,17.56,1230074,2592441.3
1565703000,17.39,18.235,17.3,18.11,2132878,2635118.1
1565789400,17.45,17.57,17.0567,17.16,1685283,2609492.1
1565875800,17.1,17.34,17.03,17.28,1861069,2545012.6
1565962200,17.29,17.64,17.28,17.5,2048540,2556836
1566221400,18.03,18.14,17.92,18,1474847,2515068.45
