time,open,high,low,close,Volume,Volume MA
1556285400,30.47,30.96,30.28,30.68,35191837,31292003.95
1556544600,30.91,31.305,30.82,30.88,31762671,31299811
1556631000,30.94,31.135,30.76,30.96,35001292,31161187.25
1556717400,31.05,31.21,30.78,30.79,27046955,30916246.75
1556803800,30.96,31.01,30.59,30.62,29711544,30962825.6
1556890200,30.66,30.79,30.57,30.7,28225621,30963508.1
1557149400,30.46,30.64,30.38,30.59,25182044,30226174.4
1557235800,30.52,30.59,30.28,30.53,25771202,29652136.25
1557322200,30.39,30.5,30.17,30.3,25015157,29563942.65
1557408600,30.27,30.45,30.125,30.38,27078359,29898563.9
1557495000,30.25,30.72,30.16,30.62,22013322,29752686.35
1557754200,30.35,30.65,30.34,30.47,27713285,29837293.75
1557840600,30.7,31.38,30.62,31.09,37525165,30740366.8
1557927000,31.04,31.3,30.89,31.25,23931316,30851836.6
1558013400,31.3525,31.875,31.3525,31.62,23634851,30915337.55
1558099800,31.41,31.995,31.38,31.8,30889487,31293937.8
1558359000,32.28,33.08,31.96,32.19,53455213,32854742
1558445400,32.24,32.64,32.09,32.41,23313504,32436667.8
1558531800,32.24,32.45,32.115,32.28,19988761,29823643.2
1558618200,32.18,32.32,31.93,32.14,24665483,28855853.45
1558704600,32.32,32.35,32.1,32.27,16156736,27904098.4
1559050200,32.33,32.4185,31.91,31.93,24523052,27542117.45
1559136600,31.91,32.21,31.69,31.91,26948867,27139496.2
1559223000,31.96,32.07,31.64,31.86,24227597,26998528.3
1559309400,31.06,31.16,30.38,30.58,49412581,27983580.15
1559568600,30.72,31.35,30.675,31.09,36323622,28388480.2
1559655000,31.39,31.5,30.975,31.48,31262246,28692490.3
1559741400,31.62,31.71,31.415,31.68,20430778,28425469.1
1559827800,31.8,32.175,31.7,32.1,24411663,28395294.4
1559914200,32.17,32.7,32.14,32.49,31788435,28630798.2
1560173400,32.69,33,31.86,31.93,30927316,29076497.9
1560259800,32.06,32.44,32.03,32.11,19612611,28671464.2
1560346200,32.11,32.31,32.03,32.18,19282922,27759352.05
1560432600,32.22,32.33,32.12,32.29,16873425,27406457.5
1560519000,32.34,32.44,32.18,32.35,19848544,27217142.15
1560778200,32.25,32.39,32.17,32.3,16814240,26513379.8
1560864600,32.44,32.7,32.4,32.44,20534071,24867322.7
1560951000,32.54,32.59,32.3249,32.41,21209552,24762125.1
1561037400,32.58,32.605,32.31,32.54,27066011,25115987.6
1561123800,32.69,32.7,32.42,32.45,39218598,25843643.35
1561383000,32.49,32.69,32.46,32.58,21745352,26123074.15
1561469400,32.6,32.6,32.45,32.55,19229656,25858404.35
1561555800,32.59,32.79,32.52,32.53,27960853,25909003.65
1561642200,32.76,33.03,32.56,32.98,28184290,26106838.3
1561728600,33.04,33.55,32.92,33.51,40771306,25674774.55
1561987800,33.81,33.9,33.4,33.43,32421656,25479676.25
1562074200,33.47,33.87,33.37,33.84,26635036,25248315.75
1562160600,33.96,34.04,33.865,33.98,20136493,25233601.5
1562333400,33.98,34.37,33.94,34.3,24506957,25238366.2
1562592600,34.13,34.36,34.07,34.25,31848245,25241356.7
1562679000,33.59,33.66,33.4,33.54,30976979,25243839.85
1562765400,33.74,33.84,33.62,33.76,25352105,25530814.55
1562851800,33.99,34.02,33.26,33.46,28863919,26009864.4
1562938200,33.53,33.66,33.385,33.65,23251722,26328779.25
1563197400,33.66,33.7356,33.57,33.71,20255058,26349104.95
1563283800,33.68,33.72,33.51,33.58,17869349,26401860.4
1563370200,33.56,33.58,33.25,33.26,18798178,26315065.75
1563456600,33.19,33.2,32.84,33.09,32128778,26861027.05
1563543000,33.23,33.27,32.77,32.79,32156755,27115564.25
1563802200,32.75,32.75,32.07,32.13,35521084,26930688.55
1563888600,32.15,32.16,31.515,32.09,45574407,28122141.3
1563975000,32.18,33.39,32.18,33.24,48284728,29574894.9
1564061400,33.58,33.99,33.45,33.81,39019229,30127813.7
1564147800,33.74,34.23,33.59,34.15,34149302,30426064.3
1564407000,34.07,34.445,33.94,34.34,30939050,29934451.5
1564493400,34.44,34.64,34.075,34.18,33926816,30009709.5
1564579800,34.05,34.48,33.89,34.05,40633777,30709646.55
1564666200,34.48,34.6,34.015,34.12,41058878,31755765.8
1564752600,33.8,34.34,33.54,34.17,36476292,32354232.55
1565011800,33.7,33.94,33.19,33.49,37067635,32615202.05
1565098200,33.51,33.97,33.29,33.96,31658718,32649289
1565184600,33.6,34.16,33.36,34.06,37948549,33279111.2
1565271000,34.25,34.54,34.07,34.54,28498500,33260840.25
1565357400,34.43,34.59,34.15,34.54,22866772,33241592.75
1565616600,34.47,34.575,34.27,34.48,24398478,33448763.75
1565703000,34.37,34.96,34.37,34.86,31598979,34135245.25
1565789400,34.6,34.63,34.021,34.09,34615314,34926102.05
1565875800,34.24,34.4642,33.9635,34.34,24367612,34538043.75
1565962200,34.48,35,34.405,34.97,31102985,34485355.25
1566221400,35.01,35.435,34.99,35.38,26135677,34016084.9
1566307800,35.29,35.3,34.9,34.98,21805804,32827654.75
1566394200,35.19,35.25,34.97,35.16,21916204,31509228.55
1566480600,35.24,35.5,35.075,35.39,21461215,30631327.85
1566567000,35.3,35.44,34.64,34.82,33864032,30617064.35
1566826200,34.97,35.14,34.71,34.93,23199367,30230080.2
1566912600,35.01,35.04,34.63,34.72,32086664,30138072.6
1566999000,34.67,34.98,34.535,34.96,24369041,29324835.8
1567085400,35.11,35.33,35.05,35.15,23298615,28436822.65
1567171800,35.18,35.35,35.07,35.26,21610193,27693517.7
1567517400,35.08,35.39,34.915,35.38,20542298,26867250.85
1567603800,35.53,35.82,35.44,35.72,20751045,26321867.2
1567690200,35.9,35.98,35.75,35.89,21750094,25511944.45
1567776600,35.95,36.37,35.91,36.25,29266063,25550322.6
1568035800,37.82,38.14,36.71,36.79,117865963,30300282.15
1568122200,37.205,37.72,36.97,37.58,48019601,31481338.3
1568208600,37.93,38.75,37.71,38.74,55071433,32654961
1568295000,38.37,38.48,37.73,38.38,42667020,33057546.3
1568381400,38.01,38.345,37.735,37.91,39225394,33800435.4
1568640600,37.7,37.83,37.1138,37.31,49189889,34704780.6
1568727000,37.04,37.25,36.79,37.16,35295611,35162777.3
1568813400,36.76,36.975,36.49,36.76,38600411,36002507.65
1568899800,37.03,37.22,36.8,37.15,27257877,36269591.3
1568986200,37.3,38.01,37.18,37.91,79104102,39151735.65
1569245400,37.62,37.85,37.48,37.6,23711988,38644133.45
1569331800,37.79,37.845,37.34,37.38,28103285,38889329.35
1569418200,37.33,37.56,37.24,37.38,22369591,38403475.7
1569504600,37.4,37.46,37.18,37.38,21829113,38276479.3
1569591000,37.61,37.73,37.18,37.43,24227756,38322936.35
1569850200,37.59,37.925,37.53,37.84,28436226,38664238
1569936600,37.95,37.96,37.37,37.41,24334716,38853858.9
1570023000,37.35,37.35,36.92,37.08,26612141,39146913.7
1570109400,37,37.2,36.66,37.19,21001457,39109481.85
