time,open,high,low,close
1556285400,70.98,72.01,70.63,71.46
1556544600,71.72,72,71.31,71.69
1556631000,71.22,72.78,71.01,71.79
1556717400,72.3,72.66,71.1,71.16
1556803800,70.88,71.71,70.2259,71.58
1556890200,71.79,72.9,71.55,72.45
1557149400,68.86,70.5,68.5,70.26
1557235800,69.01,70,64.86,65.59
1557322200,65.71,66.78,65.01,66.01
1557408600,64.84,65.98,63.01,65.4
1557495000,65.06,66.42,64.1,65.57
1557754200,62.65,63,60.5,61.58
1557840600,62.57,63.28,61.25,62.51
1557927000,62.53,63.14,62.1,62.76
1558013400,63.24,63.59,62.22,62.74
1558099800,61.11,61.96,60.5,61.37
1558359000,60.2,60.21,56.76,57.69
1558445400,58.87,59.21,57.9696,58.33
1558531800,57.77,58.15,56.63,56.95
1558618200,55,57.14,54.62,55.91
1558704600,56.39,56.46,53.88,54.51
1559050200,55.14,56.22,54.45,54.71
1559136600,54.71,57.6695,53.53,56.4
1559223000,56.33,59.445,56.33,58.91
1559309400,57.6,58.21,56.62,57.03
1559568600,56.99,58.36,55.29,56.11
1559655000,56.29,56.45,54.4875,56.31
1559741400,57.19,57.3,54.86,55.76
1559827800,55.92,56.77,55.66,56.3
1559914200,56.5,58,56.25,57.63
1560173400,58.54,61.13,58.52,60.22
1560259800,61.34,62.53,60.73,61.23
1560346200,60.44,61.89,59.77,60.05
1560432600,60.19,60.65,59.45,60
1560519000,59.45,59.66,58.57,58.71
1560778200,58.98,59.905,58.54,58.79
1560864600,59.56,63.2,59.25,61.61
1560951000,61.99,62.68,60.78,62.09
1561037400,63.69,65.74,63.23,64.72
1561123800,64.16,64.65,63.45,64.15
1561383000,64.11,64.11,63.11,63.46
1561469400,63.08,63.46,61.06,62.82
1561555800,63.33,64.26,63,63.63
1561642200,63.93,64.93,63.7663,63.95
1561728600,63.95,63.95,61.68,62.17
1561987800,64.28,65.03,63.585,64.29
1562074200,64.36,64.77,64.075,64.35
1562160600,64.21,64.35,62.26,63.82
1562333400,62.68,63.23,59.53,62.37
1562592600,61.46,61.75,59.43,59.5
1562679000,58.86,59.15,58.17,58.85
1562765400,59.4,59.45,56.97,57.5
1562851800,57.55,58.56,57.55,58.21
1562938200,58.44,58.44,57.38,57.9
1563197400,58.29,59.67,57.81,58.42
1563283800,58.32,58.88,57.34,57.76
1563370200,57.18,57.81,56.79,57.09
1563456600,56.74,57.2,56.03,57.17
1563543000,57.72,58.12,57.17,57.22
1563802200,57.36,57.7,56.53,57.31
1563888600,57.65,57.98,57.14,57.81
1563975000,58.1,59.61,57.613,59.54
1564061400,59.68,59.89,58.76,59.56
1564147800,59.81,59.9,58.59,59.1
1564407000,58.92,58.92,57.65,57.96
1564493400,57.42,57.52,55.61,56.3
1564579800,56.45,56.985,55.63,56.38
1564666200,56.5,57.75,55.06,55.58
1564752600,55.14,55.14,53.37,53.8
1565011800,51.97,52.8,50.52,51.33
1565098200,52.37,53.35,51.15,51.57
1565184600,50.95,51.63,49.9305,51.03
1565271000,51.89,53.03,51.78,53.03
1565357400,52.8,53.8,52.33,52.34
1565616600,51.9,52.43,51,51.54
1565703000,51.5,54.2,51.33,53.5
1565789400,52.33,52.57,51.25,51.9
1565875800,52.59,52.63,51.4,51.79
1565962200,52.45,53.41,51.96,52.7
1566221400,53.99,55.21,53.86,54.82
1566307800,54.65,55.53,54.09,55.2
1566394200,55.5435,57.49,55.36,56
1566480600,54.3,55.7,51.18,53
1566567000,52,53.29,51.54,52.05
1566826200,52.57,52.85,50.8,51.08
1566912600,51.25,51.94,51.11,51.55
1566999000,51.13,53.84,51.13,53.57
1567085400,54.14,54.8,53.98,54.26
1567171800,54.22,54.94,53.39,53.79
1567517400,53.11,53.54,52.28,52.72
1567603800,53.5,54.18,52.1,52.41
1567690200,53.39,54.32,53.0986,54.03
1567776600,54.15,54.57,53.36,54.33
1568035800,54.6,55.23,54.51,55
1568122200,54.08,55.39,54.02,55.17
1568208600,55.88,58.08,55.16,57.97
1568295000,57.35,58.01,52.25,54.05
1568381400,54.17,56.83,54.05,56.62
1568640600,55.99,56.59,55.6,56.55
1568727000,56.28,56.28,54.62,55.7
1568813400,55.77,56.65,55.6,56.3
1568899800,55.71,56.9,55.68,55.73
1568986200,55.66,56,55.16,55.88
1569245400,55.32,55.58,52.81,53.88
1569331800,53.88,53.88,50.26,51.03
1569418200,51.02,52.16,50.89,51.78
1569504600,51.85,52.26,51.33,51.57
1569591000,51.81,52.48,48.36,48.92
1569850200,49.34,49.83,48.67,49.31
1569936600,49.45,49.72,48.09,48.66
1570023000,48.12,48.99,47.195,48.81
1570109400,48.9,49.48,47.81,49.45
1570195800,49.39,49.62,48.88,48.95
1570455000,48.45,49.21,48.37,48.79
1570541400,48.62,48.82,47.93,48.04
1570627800,48.59,48.89,47.91,48.52
1570714200,48.53,49.3,48.31,48.81
1570800600,49.74,50.79,49.3,49.7
1571059800,49.6,49.6,48.69,49.09
1571146200,49.32,50.31,49.29,50.2
1571232600,49.92,50.81,49.8,50.8
1571319000,51.23,52.88,51.165,52.03
1571405400,52.08,52.79,50.43,50.97
1571664600,51.38,52,50.96,51.09
1571751000,51.12,51.71,49.77,50.07
1571837400,49.8,50.92,49.79,50.74
1571923800,50.59,50.75,49.48,50.12
1572010200,50.1,51.89,50.03,51.48
1572269400,51.83,54.37,51.83,53.93
1572355800,53.55,53.97,53.02,53.16
1572442200,53.15,53.32,51.89,51.95
1572528600,51.93,53.21,51.79,52.81
1572615000,53.59,54.56,53.11,53.4
1572877800,54.18,54.99,53.84,54.42
1572964200,54.78,56.55,54.52,56.24
1573050600,56.22,56.24,54.71,55.03
1573137000,55.56,56.32,55.51,55.94
1573223400,55.57,56.13,55.03,55.25
1573482600,54.43,54.85,53.78,54.62
1573569000,54.3,54.485,52.88,53.16
1573655400,52.67,53.51,51.68,52.11
1573741800,52.06,52.06,50.385,51
1573828200,51.64,52.03,51.14,51.55
1574087400,51.55,52.18,49.235,50.25
1574173800,54.71,57.47,53.11,57.2
1574260200,56.36,57.74,55.91,57.45
