time,open,high,low,close,Volume,Volume MA
1556285400,66.12,66.99,63.6,66.22,1527450,NaN
1556544600,66.53,68.5,64.75,68.17,1822349,NaN
1556631000,68.4,72.52,66.67,72.47,4113123,NaN
1556717400,72.72,76.95,70.8159,72.76,3301900,NaN
1556803800,72.75,75.89,69.6912,75.5,2525285,NaN
1556890200,75,80.25,75,79.18,2590281,NaN
1557149400,75.01,80.79,74.5,78.24,2051824,NaN
1557235800,77.85,78.05,73.25,73.33,1975220,NaN
1557322200,74.61,78.5,74.03,77.68,2265503,NaN
1557408600,76.85,76.99,74,75.21,1348243,NaN
1557495000,75.79,79.74,74.77,79.63,1555091,NaN
1557754200,77.39,77.39,70.6,72.54,2873222,NaN
1557840600,74.12,76.8851,73.11,73.14,1950421,NaN
1557927000,73.4,80,72.21,79.76,2426504,NaN
1558013400,80.12,87.55,79.25,83.4,4580684,4412240.7
1558099800,82.25,90.28,81.88,89.98,3442549,3296135.2
1558359000,90.1,91.46,83.27,84.67,3666775,2981987.05
1558445400,86.63,89.7,84.5,85.44,2576024,2771462.6
1558531800,84.63,85.7,82,82.43,1596424,2602607.35
1558618200,81.25,81.5,77.26,78.76,2855970,2552242.1
1558704600,80.48,81.2499,74.2,76.25,2946767,2623207.95
1559050200,76.8,79.39,76.8,77.77,1641491,2614165.05
1559136600,77,77.93,73.5831,75.77,1512129,2484115.35
1559223000,76.68,80.97,76.6,80.42,1996030,2418821.85
1559309400,78.77,83.17,77.78,79.73,1594298,2372272.5
1559568600,80,81.94,75.65,75.9,1570466,2321281.75
1559655000,78.2,78.88,76.62,78.74,1134900,2275435.55
1559741400,80.14,80.6,76.24,78.04,1295760,2241462.55
1559827800,77.4,79.75,77.03,79.43,3024047,2279389.75
1559914200,93.66,98.8896,92.5,94.05,9487775,2686366.35
1560173400,98.51,105.985,96,102,4852773,2851250.45
1560259800,101,101.2,91.57,94.87,4372431,2926210.9
1560346200,94.6,104.185,94,102.77,3156886,2986534.15
1560432600,105.1,105.1719,98.55,100.95,3189094,3024663.65
1560519000,100.47,104.57,99.25,100.29,1889325,2890095.7
1560778200,101,102.4465,97,98.11,2128508,2824393.65
1560864600,100.39,102,97.51,99.64,2272387,2754674.25
1560951000,100.49,104.4446,98.63,102.39,2592675,2755506.8
1561037400,105.01,107.34,101.6209,102.3,2460733,2798722.25
1561123800,101.42,101.5316,97.82,100.47,2972517,2804549.6
1561383000,100.85,101.4997,88.88,89.41,6011186,2957770.55
1561469400,89.43,91.5,84.63,85.03,3748955,3063143.75
1561555800,87.92,89.08,84.605,86.33,2680016,3121538.1
1561642200,89.7,92.33,87.8,90.27,3019517,3172712.45
1561728600,91.76,92.2,87.25,88.79,3228290,3254412.05
1561987800,85.13,87.79,83.1,86.86,5326805,3442229
1562074200,86.27,86.85,84,85.13,1868892,3478928.6
1562160600,85.45,90.6,84.51,90.45,2706066,3549443.9
1562333400,90.14,91.97,88,91.88,2582697,3527376.4
1562592600,91.44,92.79,89.89,90.76,1793297,3142652.5
1562679000,90.27,91.27,89.1,90.93,1557350,2977881.35
1562765400,91.76,93.45,91.55,92.72,2059621,2862240.85
1562851800,92.9,93.2,90.452,91.4,1784559,2793624.5
1562938200,93.01,94.93,91.37,93.3,2689652,2768652.4
1563197400,94,100.65,93.78,99.8,3835592,2865965.75
1563283800,100.14,100.5,96.5,97.1,2120142,2865547.45
1563370200,97.62,101.9868,97.5401,99.73,2314102,2867633.2
1563456600,99.24,99.5,95.0164,95.19,2035569,2839777.9
1563543000,97.15,97.79,92.88,93.38,1747704,2804126.45
1563802200,94.19,97.465,93.505,96.67,1483400,2729670.6
1563888600,97.5,98.15,93.52,97.39,2241650,2541193.8
1563975000,97.12,97.88,94.685,95.94,1283718,2417931.95
1564061400,95.84,99.6,95.75,97.11,1870276,2377444.95
1564147800,97.95,104.49,97.83,102.2,3040689,2378503.55
1564407000,102.6,102.9975,92.1,96.47,4230283,2428603.2
1564493400,95.19,99.35,94.03,95.49,1635487,2244037.3
1564579800,96.43,97.5,93.5,95.51,1514734,2226329.4
1564666200,95.75,98.66,93.8,95.1,1530366,2167544.4
1564752600,94.92,96,92.5658,93.66,1117100,2094264.55
1565011800,90.7,91.19,87.29,89.69,1774360,2093317.7
1565098200,91.5,92.2899,88.1,90.43,1028654,2066882.9
1565184600,89.02,93.16,88.0201,92.45,996134,2013708.55
1565271000,93.57,95.84,93.0201,95.77,925610,1970761.1
1565357400,94.79,95.49,93.31,94.2,802311,1876394.05
1565616600,93.05,94.18,91.11,92.16,779341,1723581.5
1565703000,92.06,96.2228,92.06,95.45,1172874,1676218.1
1565789400,93.2,94.5215,89.89,92.65,1265666,1623796.3
1565875800,92.77,93.44,89.69,90.64,1085845,1576310.1
1565962200,92.12,95,92.0801,92.53,1267686,1552309.2
1566221400,94.18,96.2,92.89,93.17,1226647,1539471.55
1566307800,93,93.57,91.14,91.41,746950,1464736.55
1566394200,92.86,94.1805,92.3539,93.01,760434,1438572.35
1566480600,93.48,95.5,91.57,93.87,883145,1389215.8
1566567000,93.14,94.1296,90.41,91.63,1373215,1305842.1
1566826200,92.33,93.5,91.45,91.76,698857,1129270.8
1566912600,92.6,93.69,90.44,91.73,890671,1092030
1566999000,91.16,91.38,88.7111,90.16,1148489,1073717.75
1567085400,91.5,92.68,90.7,90.87,851973,1039798.1
1567171800,91.82,92.42,89.02,91.67,1186951,1043290.65
1567517400,91.5,94.24,90.75,92.46,1540324,1031588.85
1567603800,93.95,96,93.1801,93.53,2418109,1101061.6
1567690200,94.24,94.38,88.51,92.69,5055702,1304040
1567776600,92,96.5,84.86,85.41,7289700,1622244.5
1568035800,85.75,85.94,77.2,78.65,6713802,1917819.05
1568122200,77,81.2206,76.81,80.35,2813163,2019510.15
1568208600,80,81.86,78.5,80.71,2013599,2061546.4
1568295000,81.45,82.65,79.9,81.53,1955107,2096018.45
1568381400,81.57,82.4755,78.27,78.85,1416802,2112566.3
1568640600,78.5,80.99,78.26,80.67,1630142,2130689.1
1568727000,81.49,84.82,79.53,84.64,2544440,2196578.75
1568813400,84.4,86,83.5,84.55,1843660,2251414.25
1568899800,85.2,85.35,83.25,84.62,1276930,2277239.05
1568986200,85,85.35,81.5,82.63,2054552,2335809.4
1569245400,82.29,83.6,81.8,82.62,678853,2301091.3
1569331800,82.43,82.93,79.46,80.02,2147632,2373530.05
1569418200,79.12,79.99,76.08,79.6,1938824,2425937.7
1569504600,79.25,80.62,78.6154,79.75,928403,2414933.4
1569591000,79.69,79.825,75.09,76.04,2350893,2489879.4
1569850200,76.13,77,74.29,76.2,1358328,2498448.25
1569936600,76.43,77.49,75.21,75.81,1384716,2490667.85
1570023000,74.5,75.78,73.66,73.85,1388979,2439211.35
1570109400,73.9,78.4897,73.39,76.83,2607615,2316807
1570195800,77,77.7831,75.28,76.53,1799740,2042309
1570455000,76.99,77.43,75,76.99,1432473,1778242.55
1570541400,76.01,76.3544,72.58,73.59,3158040,1795486.4
1570627800,74.22,75.06,72.75,72.86,1493600,1769486.45
1570714200,72.86,73.78,71.01,71.01,2284911,1785976.65
1570800600,71.37,72.89,70.9016,71.35,2392819,1834777.5
1571059800,70.46,71.24,69.55,70.8,2220769,1864308.85
1571146200,68.76,71.27,68.38,71.11,10590632,2266618.45
1571232600,69.7,69.9499,66.51,67.69,6077995,2478335.2
1571319000,67.09,68,66.76,67.03,3579706,2593474
1571405400,66.26,66.93,64.53,66.08,4821710,2731831.9
1571664600,65.29,66.5,64.1582,65.77,3078276,2851803.05
1571751000,64.2,64.6,61.02,62,4611123,2974977.6
1571837400,61.33,63.74,60.9675,62.06,3609183,3058495.55
1571923800,63,65.94,62.7601,64.52,3437110,3183930.9
1572010200,64.33,64.99,62.79,63.45,1953670,3164069.75
1572269400,63.96,67.47,62.26,66.56,3512760,3271791.35
1572355800,65.77,67.11,64.8,65.49,1825982,3293854.65
1572442200,65.97,70.09,65.66,70,4672440,3458027.7
1572528600,69.52,70.08,66.6,69.89,3413049,3498299.4
1572615000,69.86,70.55,68.02,70.39,3562840,3586454.4
1572877800,70.81,70.85,69.01,70.12,1565768,3593119.15
1572964200,70.71,70.85,66.68,66.89,1813895,3525911.9
