time,open,high,low,close,Volume,Volume MA
1556285400,66.77,67.7,65.265,66.94,1225711,2104249.25
1556544600,66.87,69.5,66.87,68.2,1776794,2103980.1
1556631000,67.96,69.1995,66.43,68.31,1293025,2086827.1
1556717400,68.98,69.4,65.97,66.17,1551938,2091405.5
1556803800,65.88,67.15,64.435,65.67,1741697,2094959.9
1556890200,66.32,67.57,65.11,67.4,1147692,1777957.5
1557149400,65.01,69.99,63.405,69.5,2097443,1755137.1
1557235800,68.89,69.95,64.8,66.36,2758101,1812893.85
1557322200,66.33,68.1899,65.59,67.61,1305003,1760666.55
1557408600,66.91,69,65.395,68.62,1867984,1683905.75
1557495000,68.76,74.59,68.2342,73.55,5344959,1865706.4
1557754200,71.62,72.52,67.51,68.09,3355682,1971407.15
1557840600,69.97,72.86,69.7,72.05,2503763,2033137.35
1557927000,71.65,75.9,71.0864,75.02,2661178,2097280.2
1558013400,75.13,79.33,75.13,78.66,2544531,2103761
1558099800,77.68,80.38,77.54,78.79,2481155,2123755.45
1558359000,77.6,77.89,74.82,76.64,2121698,2168108.5
1558445400,77.53,78.19,75.51,76.09,1651275,2192153.9
1558531800,75.31,77.89,75.31,75.89,1531380,2217365.15
1558618200,75.25,75.31,72.19,73.45,2554388,2175769.85
1558704600,74.11,75.11,72.856,73.76,1589039,2193936.25
1559050200,74.58,76.76,73.6068,74.24,2385491,2224371.1
1559136600,72.88,73.04,70.58,71.15,3161988,2317819.25
1559223000,71.84,74.55,71.55,72.99,4186500,2449547.35
1559309400,71.98,72.72,66.42,68.63,5813428,2653133.9
1559568600,68.66,69.6,65.3039,66.9,3906384,2791068.5
1559655000,68,72.125,67.26,71.96,3323813,2852387
1559741400,72.97,74.02,71.21,72.45,2554517,2842207.8
1559827800,72.5,73.17,71.07,72.33,1926152,2873265.25
1559914200,72.5,76,72.45,75.51,3024200,2931076.05
1560173400,76.76,79.39,76.61,76.92,2584244,2793040.3
1560259800,77.18,78.1425,73.1101,75.83,2842317,2767372.05
1560346200,76,77.33,74.41,77.17,1433423,2713855.05
1560432600,77.39,80.2,76.51,79.72,4243205,2792956.4
1560519000,79.7,79.71,76.84,77.67,1949186,2763189.15
1560778200,78.43,78.98,75.8,76.74,2101667,2744214.75
1560864600,77.92,78.93,76.61,78,2320346,2754147.15
1560951000,78.63,80.07,77.32,79.88,2642505,2803708.65
1561037400,80.8,82.25,78.18,79.18,3184528,2886366.05
1561123800,78.89,78.89,76.85,77.24,2786690,2897981.15
1561383000,77.72,77.8,74.3011,75.46,2691255,2953091.95
1561469400,75.48,76.26,73.05,73.82,2093596,2938497.2
1561555800,74.85,75.99,73.9008,74.3,1741675,2867481.55
1561642200,75.96,78.09,74.82,77.5,2244038,2770358.45
1561728600,78.01,78.01,76.3409,76.64,8153468,2887360.45
1561987800,78.23,78.4,75,76.61,1524531,2768267.8
1562074200,76.83,79.64,76.5,78.96,2048353,2704494.8
1562160600,79.16,80.93,78.5,80.64,3214998,2737518.85
1562333400,80.53,83.422,79.02,83.06,2726319,2777527.2
1562592600,82.57,84.57,81.2,83.79,2850488,2768841.6
1562679000,83.01,84.41,82.55,84.31,1463777,2712818.25
1562765400,84.62,85.5,83.16,83.29,2188989,2680151.85
1562851800,83.85,84.2415,80.44,82.28,1853249,2701143.15
1562938200,82.4,82.8,80.61,81.87,1070913,2542528.55
1563197400,82.44,84.645,81.93,83.79,1628906,2526514.55
1563283800,83.88,84.84,81.88,82.59,1691448,2506003.6
1563370200,82.95,83.18,81.15,82,1687963,2474384.45
1563456600,81.83,82.53,81.01,82.38,1644243,2424471.35
1563543000,83.79,85.5,82.53,82.68,1844239,2357456.9
1563802200,83.25,85.15,83.02,84,1156342,2275939.5
1563888600,85,85.1,82.53,84,1277184,2205235.95
1563975000,83.81,86.84,82.9429,86.69,2084472,2204779.75
1564061400,86.51,86.67,84.7806,86.42,1623422,2198867.1
1564147800,87,89.54,86.7,88.21,2000604,2186695.4
1564407000,88.5,88.68,82.52,85.57,2595291,1908786.55
1564493400,84.7,85.93,83.86,84.68,1159218,1890520.9
1564579800,85.2,86.29,83,84.27,1743957,1875301.1
1564666200,84.83,85.92,83.6612,85.26,1801396,1804621
1564752600,84.14,84.5,81.04,83.48,2071998,1771904.95
1565011800,80,80.198,76.27,78.17,2863438,1772552.45
1565098200,79.91,81.7,79.21,79.94,2186859,1808706.55
1565184600,79,81.73,77.3,81.22,1681899,1783352.05
1565271000,82.88,84.99,81.75,84.72,1589955,1770187.35
1565357400,84.39,86.41,84.11,85.18,1337604,1783521.9
1565616600,84.7,84.93,82.25,83.21,1538638,1779008.5
1565703000,83.03,85.59,82.51,85.04,1128309,1750851.55
1565789400,83.36,83.65,79.24,81.5,2121750,1772540.9
1565875800,82.26,82.6989,78.205,79.18,1845328,1782595.15
1565962200,80,81.8863,79.9,80.91,1577978,1769282.1
1566221400,80.28,80.45,71.1,71.8,8807748,2151852.4
1566307800,71.5,71.7093,69.87,70.8,3640539,2270020.15
1566394200,71.56,74.5101,71.34,72.99,2748842,2303238.65
1566480600,73.65,73.7885,70.82,72.54,1870807,2315607.9
1566567000,72.5,74.34,71,71.28,1902466,2310701
1566826200,72.1,72.46,70.06,71.78,1716912,2266782.05
1566912600,72.38,72.95,70.16,71.46,963978,2257020.05
1566999000,70.92,70.92,68.5003,69.16,1699529,2254798.65
1567085400,70.2,70.87,68.95,70.51,1506994,2240078.55
1567171800,70.89,71.2529,67.78,68.74,1960501,2234503.7
1567517400,68.09,68.9,65.2963,65.67,2333603,2208011.95
1567603800,66.52,68.01,66.03,67.91,2624927,2229915.35
1567690200,68.94,68.94,63.69,66.98,4722580,2381949.4
1567776600,65.86,66.48,63.87,64.05,3384339,2471668.6
1568035800,64.31,65.39,60.56,62.02,5137931,2661684.95
1568122200,60.94,64.49,60.03,61.6,6961651,2932835.6
1568208600,48.36,50.16,46.04,49.67,26845815,4218710.9
1568295000,50.7,51.4,48.4175,49.59,7085776,4466912.2
1568381400,49.34,49.4,47.28,47.48,4892837,4619287.65
1568640600,47.02,48.725,46.8525,47.62,2863849,4683581.2
1568727000,48.05,51.55,48,50.64,7099006,4598144.1
1568813400,50.75,52.62,49.8601,51.95,6950138,4763624.05
1568899800,52.16,53.15,48.91,50.35,5463851,4899374.5
